chronics at: Scenario_april_038	total score: 431121.093750	time steps: 395/8062
chronics at: Scenario_april_084	total score: 309403.000000	time steps: 310/8062
chronics at: Scenario_april_111	total score: 443241.187500	time steps: 410/8062
chronics at: Scenario_april_136	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_137	total score: 10689.819336	time steps: 15/8062
chronics at: Scenario_april_144	total score: 184645.656250	time steps: 216/8062
chronics at: Scenario_april_191	total score: 895759.000000	time steps: 707/8062
chronics at: Scenario_april_211	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_214	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_265	total score: 332967.312500	time steps: 323/8062
chronics at: Scenario_august_030	total score: 602112.312500	time steps: 419/8062
chronics at: Scenario_august_035	total score: 213909.968750	time steps: 140/8062
chronics at: Scenario_august_060	total score: 251363.937500	time steps: 170/8062
chronics at: Scenario_august_115	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_139	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_151	total score: 1015346.437500	time steps: 729/8062
chronics at: Scenario_august_218	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_237	total score: 191692.125000	time steps: 142/8062
chronics at: Scenario_august_254	total score: 138700.171875	time steps: 118/8062
chronics at: Scenario_december_007	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_037	total score: 6577.581543	time steps: 11/8062
chronics at: Scenario_december_043	total score: 278091.468750	time steps: 232/8062
chronics at: Scenario_december_045	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_066	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_088	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_107	total score: 114657.625000	time steps: 101/8062
chronics at: Scenario_december_112	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_115	total score: 149618.593750	time steps: 135/8062
chronics at: Scenario_december_117	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_130	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_151	total score: 180080.562500	time steps: 148/8062
chronics at: Scenario_december_206	total score: 552950.562500	time steps: 419/8062
chronics at: Scenario_december_215	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_217	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_219	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_249	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_251	total score: 179014.343750	time steps: 144/8062
chronics at: Scenario_february_084	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_091	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_118	total score: 258053.671875	time steps: 130/8062
