chronics at: Scenario_april_038	total score: 128945.375000	time steps: 415/8062
chronics at: Scenario_april_084	total score: 318989.562500	time steps: 720/8062
chronics at: Scenario_april_111	total score: 249317.078125	time steps: 719/8062
chronics at: Scenario_april_136	total score: 240203.171875	time steps: 518/8062
chronics at: Scenario_april_137	total score: 39690.507812	time steps: 216/8062
chronics at: Scenario_april_144	total score: 180287.187500	time steps: 698/8062
chronics at: Scenario_april_191	total score: 46807.546875	time steps: 172/8062
chronics at: Scenario_april_211	total score: 263034.187500	time steps: 703/8062
chronics at: Scenario_april_214	total score: 6936.058594	time steps: 87/8062
chronics at: Scenario_april_265	total score: 28165.443359	time steps: 195/8062
chronics at: Scenario_august_030	total score: 21657.931641	time steps: 131/8062
chronics at: Scenario_august_035	total score: 139801.953125	time steps: 424/8062
chronics at: Scenario_august_060	total score: 353175.656250	time steps: 912/8062
chronics at: Scenario_august_115	total score: 204406.687500	time steps: 558/8062
chronics at: Scenario_august_139	total score: 13548.127930	time steps: 106/8062
chronics at: Scenario_august_151	total score: 42515.273438	time steps: 137/8062
chronics at: Scenario_august_218	total score: 33957.792969	time steps: 182/8062
chronics at: Scenario_august_237	total score: 39076.648438	time steps: 142/8062
chronics at: Scenario_august_254	total score: 39965.984375	time steps: 118/8062
chronics at: Scenario_december_007	total score: 56456.625000	time steps: 140/8062
chronics at: Scenario_december_037	total score: 178256.843750	time steps: 411/8062
chronics at: Scenario_december_043	total score: 327027.468750	time steps: 1048/8062
chronics at: Scenario_december_045	total score: 332728.625000	time steps: 700/8062
chronics at: Scenario_december_066	total score: 178317.421875	time steps: 406/8062
chronics at: Scenario_december_088	total score: 465285.812500	time steps: 775/8062
chronics at: Scenario_december_107	total score: 194916.046875	time steps: 536/8062
chronics at: Scenario_december_112	total score: 306219.656250	time steps: 689/8062
chronics at: Scenario_december_115	total score: 38018.507812	time steps: 228/8062
chronics at: Scenario_december_117	total score: 138321.859375	time steps: 288/8062
chronics at: Scenario_december_130	total score: 45637.523438	time steps: 272/8062
chronics at: Scenario_december_151	total score: 125110.531250	time steps: 355/8062
chronics at: Scenario_december_206	total score: 25050.962891	time steps: 97/8062
chronics at: Scenario_december_215	total score: 8255.270508	time steps: 44/8062
chronics at: Scenario_december_217	total score: 146267.750000	time steps: 405/8062
chronics at: Scenario_december_219	total score: 38283.937500	time steps: 200/8062
chronics at: Scenario_december_249	total score: 265224.406250	time steps: 649/8062
chronics at: Scenario_december_251	total score: 462571.718750	time steps: 996/8062
chronics at: Scenario_february_084	total score: 1658.328247	time steps: 12/8062
chronics at: Scenario_february_091	total score: 113302.789062	time steps: 323/8062
chronics at: Scenario_february_118	total score: 5042.047852	time steps: 41/8062
chronics at: Scenario_february_129	total score: 6143.318359	time steps: 29/8062
chronics at: Scenario_february_138	total score: 39527.359375	time steps: 157/8062
chronics at: Scenario_february_173	total score: 9135.082031	time steps: 69/8062
chronics at: Scenario_february_182	total score: 5999.163574	time steps: 37/8062
chronics at: Scenario_february_185	total score: 2738.234619	time steps: 20/8062
chronics at: Scenario_february_197	total score: 30048.617188	time steps: 101/8062
chronics at: Scenario_february_210	total score: 8479.971680	time steps: 48/8062
chronics at: Scenario_february_228	total score: 772866.750000	time steps: 1627/8062
chronics at: Scenario_february_236	total score: 33339.722656	time steps: 200/8062
chronics at: Scenario_february_237	total score: 64836.417969	time steps: 301/8062
chronics at: Scenario_february_239	total score: 89220.320312	time steps: 293/8062
chronics at: Scenario_january_020	total score: 544480.187500	time steps: 863/8062
chronics at: Scenario_january_038	total score: 220380.703125	time steps: 749/8062
chronics at: Scenario_january_051	total score: 77146.570312	time steps: 153/8062
chronics at: Scenario_january_124	total score: 113896.367188	time steps: 324/8062
chronics at: Scenario_january_129	total score: 92762.625000	time steps: 418/8062
chronics at: Scenario_january_179	total score: 326952.281250	time steps: 781/8062
chronics at: Scenario_january_189	total score: 206586.359375	time steps: 473/8062
chronics at: Scenario_january_210	total score: 106109.781250	time steps: 394/8062
chronics at: Scenario_january_212	total score: 43761.449219	time steps: 106/8062
chronics at: Scenario_january_226	total score: 88759.500000	time steps: 237/8062
chronics at: Scenario_january_268	total score: 123152.414062	time steps: 381/8062
chronics at: Scenario_july_008	total score: 25386.326172	time steps: 136/8062
chronics at: Scenario_july_022	total score: 30550.251953	time steps: 142/8062
chronics at: Scenario_july_130	total score: 387916.750000	time steps: 762/8062
chronics at: Scenario_july_141	total score: 44935.417969	time steps: 174/8062
chronics at: Scenario_july_156	total score: 73846.859375	time steps: 242/8062
chronics at: Scenario_july_197	total score: 300870.906250	time steps: 679/8062
chronics at: Scenario_july_205	total score: 110485.078125	time steps: 445/8062
chronics at: Scenario_july_222	total score: 40579.187500	time steps: 170/8062
chronics at: Scenario_july_333	total score: 25301.433594	time steps: 123/8062
chronics at: Scenario_june_007	total score: 132245.234375	time steps: 398/8062
chronics at: Scenario_june_041	total score: 22529.744141	time steps: 131/8062
chronics at: Scenario_june_063	total score: 55822.613281	time steps: 386/8062
chronics at: Scenario_june_095	total score: 49631.054688	time steps: 167/8062
chronics at: Scenario_june_135	total score: 22550.105469	time steps: 114/8062
chronics at: Scenario_june_197	total score: 43075.167969	time steps: 141/8062
chronics at: Scenario_june_225	total score: 111601.203125	time steps: 263/8062
chronics at: Scenario_march_000	total score: 67183.914062	time steps: 217/8062
chronics at: Scenario_march_007	total score: 5171.007324	time steps: 43/8062
chronics at: Scenario_march_012	total score: 305061.187500	time steps: 925/8062
chronics at: Scenario_march_013	total score: 781354.625000	time steps: 1026/8062
chronics at: Scenario_march_027	total score: 5755.087891	time steps: 34/8062
chronics at: Scenario_march_094	total score: 188936.359375	time steps: 507/8062
chronics at: Scenario_march_236	total score: 32221.685547	time steps: 192/8062
chronics at: Scenario_march_237	total score: 419769.125000	time steps: 967/8062
chronics at: Scenario_march_245	total score: 323980.625000	time steps: 942/8062
chronics at: Scenario_march_254	total score: 37719.980469	time steps: 156/8062
chronics at: Scenario_may_028	total score: 14111.952148	time steps: 123/8062
chronics at: Scenario_may_031	total score: 5250.082031	time steps: 51/8062
chronics at: Scenario_may_037	total score: 209198.640625	time steps: 647/8062
chronics at: Scenario_may_052	total score: 35439.906250	time steps: 154/8062
chronics at: Scenario_may_066	total score: 125340.609375	time steps: 431/8062
chronics at: Scenario_may_130	total score: 29797.888672	time steps: 153/8062
chronics at: Scenario_may_239	total score: 229151.781250	time steps: 647/8062
chronics at: Scenario_may_264	total score: 270318.125000	time steps: 617/8062
chronics at: Scenario_may_271	total score: 141005.062500	time steps: 422/8062
chronics at: Scenario_may_311	total score: 130585.320312	time steps: 324/8062
chronics at: Scenario_may_314	total score: 45317.503906	time steps: 213/8062
chronics at: Scenario_may_338	total score: 419865.218750	time steps: 711/8062
chronics at: Scenario_may_343	total score: 178892.687500	time steps: 358/8062
chronics at: Scenario_november_009	total score: 2025.020264	time steps: 13/8062
chronics at: Scenario_november_051	total score: 583431.187500	time steps: 1053/8062
chronics at: Scenario_november_063	total score: 35898.792969	time steps: 130/8062
chronics at: Scenario_november_077	total score: 499159.906250	time steps: 914/8062
chronics at: Scenario_november_086	total score: 145995.812500	time steps: 446/8062
chronics at: Scenario_november_100	total score: 23468.107422	time steps: 120/8062
chronics at: Scenario_november_104	total score: 162024.890625	time steps: 426/8062
chronics at: Scenario_november_121	total score: 117692.023438	time steps: 393/8062
chronics at: Scenario_november_150	total score: 1633.476440	time steps: 21/8062
chronics at: Scenario_november_166	total score: 34591.398438	time steps: 139/8062
chronics at: Scenario_november_174	total score: 108144.296875	time steps: 292/8062
chronics at: Scenario_november_190	total score: 123247.695312	time steps: 329/8062
chronics at: Scenario_november_218	total score: 280428.531250	time steps: 756/8062
chronics at: Scenario_november_229	total score: 126148.218750	time steps: 298/8062
chronics at: Scenario_november_249	total score: 8179.639648	time steps: 25/8062
chronics at: Scenario_november_256	total score: 310083.718750	time steps: 662/8062
chronics at: Scenario_november_268	total score: 21316.402344	time steps: 121/8062
chronics at: Scenario_october_010	total score: 185936.609375	time steps: 418/8062
chronics at: Scenario_october_011	total score: 29542.199219	time steps: 125/8062
chronics at: Scenario_october_013	total score: 23636.582031	time steps: 87/8062
chronics at: Scenario_october_019	total score: 54013.980469	time steps: 150/8062
chronics at: Scenario_october_034	total score: 165827.890625	time steps: 409/8062
chronics at: Scenario_october_044	total score: 177628.421875	time steps: 369/8062
chronics at: Scenario_october_086	total score: 39813.574219	time steps: 138/8062
chronics at: Scenario_october_113	total score: 20469.685547	time steps: 127/8062
chronics at: Scenario_october_142	total score: 34920.960938	time steps: 133/8062
chronics at: Scenario_october_176	total score: 23576.990234	time steps: 127/8062
chronics at: Scenario_october_179	total score: 94919.523438	time steps: 297/8062
chronics at: Scenario_october_180	total score: 12748.721680	time steps: 52/8062
chronics at: Scenario_october_181	total score: 419996.593750	time steps: 774/8062
chronics at: Scenario_october_230	total score: 348353.906250	time steps: 715/8062
chronics at: Scenario_october_231	total score: 20073.292969	time steps: 82/8062
