chronics at: Scenario_april_038	total score: 37849.000000	time steps: 1379/8062
chronics at: Scenario_april_084	total score: 12828.057617	time steps: 588/8062
chronics at: Scenario_april_111	total score: 39688.503906	time steps: 1636/8062
chronics at: Scenario_april_136	total score: 19886.021484	time steps: 808/8062
chronics at: Scenario_april_137	total score: 16481.273438	time steps: 744/8062
chronics at: Scenario_april_144	total score: 70018.679688	time steps: 2793/8062
chronics at: Scenario_april_191	total score: 8139.417480	time steps: 354/8062
chronics at: Scenario_april_211	total score: 14130.709961	time steps: 607/8062
chronics at: Scenario_april_214	total score: 22014.175781	time steps: 868/8062
chronics at: Scenario_april_265	total score: 6642.025391	time steps: 303/8062
chronics at: Scenario_august_030	total score: 18980.595703	time steps: 866/8062
chronics at: Scenario_august_035	total score: 11762.922852	time steps: 503/8062
chronics at: Scenario_august_060	total score: 8526.073242	time steps: 404/8062
chronics at: Scenario_august_115	total score: 31139.517578	time steps: 1464/8062
chronics at: Scenario_august_139	total score: 41878.984375	time steps: 1958/8062
chronics at: Scenario_august_151	total score: 37293.320312	time steps: 1860/8062
chronics at: Scenario_august_218	total score: 37585.542969	time steps: 1533/8062
chronics at: Scenario_august_237	total score: 33795.941406	time steps: 1642/8062
chronics at: Scenario_august_254	total score: 4578.733398	time steps: 207/8062
chronics at: Scenario_december_007	total score: 24522.410156	time steps: 599/8062
chronics at: Scenario_december_037	total score: 17552.871094	time steps: 485/8062
chronics at: Scenario_december_043	total score: 7335.580078	time steps: 191/8062
chronics at: Scenario_december_045	total score: 4407.783203	time steps: 110/8062
chronics at: Scenario_december_066	total score: 15648.591797	time steps: 365/8062
chronics at: Scenario_december_088	total score: 24365.412109	time steps: 683/8062
chronics at: Scenario_december_107	total score: 29421.429688	time steps: 760/8062
chronics at: Scenario_december_112	total score: 9850.271484	time steps: 258/8062
chronics at: Scenario_december_115	total score: 7256.778320	time steps: 154/8062
chronics at: Scenario_december_117	total score: 10055.635742	time steps: 252/8062
chronics at: Scenario_december_130	total score: 24887.884766	time steps: 652/8062
chronics at: Scenario_december_151	total score: 5987.273926	time steps: 164/8062
chronics at: Scenario_december_206	total score: 10690.489258	time steps: 290/8062
chronics at: Scenario_december_215	total score: 14151.096680	time steps: 346/8062
chronics at: Scenario_december_217	total score: 17536.609375	time steps: 443/8062
chronics at: Scenario_december_219	total score: 1941.863525	time steps: 38/8062
chronics at: Scenario_december_249	total score: 5810.651855	time steps: 166/8062
chronics at: Scenario_december_251	total score: 19147.732422	time steps: 506/8062
chronics at: Scenario_february_084	total score: 5147.536621	time steps: 86/8062
chronics at: Scenario_february_091	total score: 12214.316406	time steps: 208/8062
chronics at: Scenario_february_118	total score: 10909.947266	time steps: 201/8062
chronics at: Scenario_february_129	total score: 29779.013672	time steps: 449/8062
chronics at: Scenario_february_138	total score: 34280.347656	time steps: 578/8062
chronics at: Scenario_february_173	total score: 13734.130859	time steps: 226/8062
chronics at: Scenario_february_182	total score: 12854.380859	time steps: 216/8062
chronics at: Scenario_february_185	total score: 1509.495117	time steps: 26/8062
chronics at: Scenario_february_197	total score: 12895.427734	time steps: 217/8062
chronics at: Scenario_february_210	total score: 14800.481445	time steps: 236/8062
chronics at: Scenario_february_228	total score: 48428.199219	time steps: 664/8062
chronics at: Scenario_february_236	total score: 10889.838867	time steps: 211/8062
chronics at: Scenario_february_237	total score: 20153.095703	time steps: 334/8062
chronics at: Scenario_february_239	total score: 16258.569336	time steps: 265/8062
chronics at: Scenario_january_020	total score: 17389.675781	time steps: 437/8062
chronics at: Scenario_january_038	total score: 20946.273438	time steps: 507/8062
chronics at: Scenario_january_051	total score: 16158.606445	time steps: 393/8062
chronics at: Scenario_january_124	total score: 18157.740234	time steps: 392/8062
chronics at: Scenario_january_129	total score: 5995.258301	time steps: 180/8062
chronics at: Scenario_january_179	total score: 8070.518555	time steps: 220/8062
chronics at: Scenario_january_189	total score: 7014.668457	time steps: 215/8062
chronics at: Scenario_january_210	total score: 10099.374023	time steps: 272/8062
chronics at: Scenario_january_212	total score: 22743.187500	time steps: 504/8062
chronics at: Scenario_january_226	total score: 2384.320312	time steps: 59/8062
chronics at: Scenario_january_268	total score: 16518.203125	time steps: 388/8062
chronics at: Scenario_july_008	total score: 39749.140625	time steps: 2234/8062
chronics at: Scenario_july_022	total score: 1323.199951	time steps: 118/8062
chronics at: Scenario_july_130	total score: 32310.148438	time steps: 1639/8062
chronics at: Scenario_july_141	total score: 19499.287109	time steps: 1080/8062
chronics at: Scenario_july_156	total score: 3075.709229	time steps: 220/8062
chronics at: Scenario_july_197	total score: 59381.242188	time steps: 3391/8062
chronics at: Scenario_july_205	total score: 39716.472656	time steps: 2222/8062
chronics at: Scenario_july_222	total score: 13387.112305	time steps: 805/8062
chronics at: Scenario_july_333	total score: 14964.959961	time steps: 802/8062
chronics at: Scenario_june_007	total score: 37134.714844	time steps: 2225/8062
chronics at: Scenario_june_041	total score: 12764.268555	time steps: 798/8062
chronics at: Scenario_june_063	total score: 31378.443359	time steps: 1860/8062
chronics at: Scenario_june_095	total score: 33628.636719	time steps: 1955/8062
chronics at: Scenario_june_135	total score: 15080.625000	time steps: 873/8062
chronics at: Scenario_june_197	total score: 17099.068359	time steps: 1082/8062
chronics at: Scenario_june_225	total score: 6051.667480	time steps: 289/8062
chronics at: Scenario_march_000	total score: 4608.680664	time steps: 91/8062
chronics at: Scenario_march_007	total score: 62350.109375	time steps: 1529/8062
chronics at: Scenario_march_012	total score: 3104.797852	time steps: 68/8062
chronics at: Scenario_march_013	total score: 47874.511719	time steps: 1253/8062
chronics at: Scenario_march_027	total score: 50380.855469	time steps: 1380/8062
chronics at: Scenario_march_094	total score: 11505.308594	time steps: 252/8062
chronics at: Scenario_march_236	total score: 4960.864258	time steps: 117/8062
chronics at: Scenario_march_237	total score: 48755.230469	time steps: 1289/8062
chronics at: Scenario_march_245	total score: 49094.527344	time steps: 1261/8062
chronics at: Scenario_march_254	total score: 21528.251953	time steps: 508/8062
chronics at: Scenario_may_028	total score: 1301.876099	time steps: 51/8062
chronics at: Scenario_may_031	total score: 19149.187500	time steps: 888/8062
chronics at: Scenario_may_037	total score: 14107.706055	time steps: 813/8062
chronics at: Scenario_may_052	total score: 15511.203125	time steps: 766/8062
chronics at: Scenario_may_066	total score: 7855.860352	time steps: 398/8062
chronics at: Scenario_may_130	total score: 49964.445312	time steps: 2532/8062
chronics at: Scenario_may_239	total score: 35021.339844	time steps: 1841/8062
chronics at: Scenario_may_264	total score: 32789.414062	time steps: 1487/8062
chronics at: Scenario_may_271	total score: 5992.451172	time steps: 286/8062
chronics at: Scenario_may_311	total score: 3243.779785	time steps: 217/8062
chronics at: Scenario_may_314	total score: 20648.300781	time steps: 1071/8062
chronics at: Scenario_may_338	total score: 13793.123047	time steps: 713/8062
chronics at: Scenario_may_343	total score: 8951.037109	time steps: 463/8062
chronics at: Scenario_november_009	total score: 27471.667969	time steps: 863/8062
chronics at: Scenario_november_051	total score: 32271.113281	time steps: 952/8062
chronics at: Scenario_november_063	total score: 3890.528809	time steps: 131/8062
