chronics at: Scenario_april_038	total score: 376271.031250	time steps: 959/8062
chronics at: Scenario_april_084	total score: 64010.253906	time steps: 410/8062
chronics at: Scenario_april_111	total score: 420184.437500	time steps: 980/8062
chronics at: Scenario_april_136	total score: 724706.500000	time steps: 1583/8062
chronics at: Scenario_april_137	total score: 309410.531250	time steps: 710/8062
chronics at: Scenario_april_144	total score: 5711.587891	time steps: 33/8062
chronics at: Scenario_april_191	total score: 17549.005859	time steps: 126/8062
chronics at: Scenario_april_211	total score: 86644.203125	time steps: 273/8062
chronics at: Scenario_april_214	total score: 271320.875000	time steps: 683/8062
chronics at: Scenario_april_265	total score: 99304.320312	time steps: 411/8062
chronics at: Scenario_august_030	total score: 51139.703125	time steps: 111/8062
chronics at: Scenario_august_035	total score: 105710.960938	time steps: 424/8062
chronics at: Scenario_august_060	total score: 172760.640625	time steps: 447/8062
chronics at: Scenario_august_115	total score: 1700.728271	time steps: 18/8062
chronics at: Scenario_august_139	total score: 38749.476562	time steps: 155/8062
chronics at: Scenario_august_151	total score: 16877.736328	time steps: 121/8062
chronics at: Scenario_august_218	total score: 23896.978516	time steps: 121/8062
chronics at: Scenario_august_237	total score: 36087.753906	time steps: 143/8062
chronics at: Scenario_august_254	total score: 35520.640625	time steps: 139/8062
chronics at: Scenario_december_007	total score: 193410.093750	time steps: 560/8062
chronics at: Scenario_december_037	total score: 589862.625000	time steps: 767/8062
chronics at: Scenario_december_043	total score: 186516.468750	time steps: 317/8062
chronics at: Scenario_december_045	total score: 2653.012939	time steps: 19/8062
chronics at: Scenario_december_066	total score: 57809.894531	time steps: 229/8062
chronics at: Scenario_december_088	total score: 47477.183594	time steps: 133/8062
chronics at: Scenario_december_107	total score: 31961.564453	time steps: 158/8062
chronics at: Scenario_december_112	total score: 113530.921875	time steps: 321/8062
chronics at: Scenario_december_115	total score: 284381.968750	time steps: 761/8062
chronics at: Scenario_december_117	total score: 47490.152344	time steps: 158/8062
chronics at: Scenario_december_130	total score: 14217.297852	time steps: 113/8062
chronics at: Scenario_december_151	total score: 60152.562500	time steps: 194/8062
chronics at: Scenario_december_206	total score: 171903.812500	time steps: 593/8062
chronics at: Scenario_december_215	total score: 142550.359375	time steps: 275/8062
chronics at: Scenario_december_217	total score: 25904.851562	time steps: 130/8062
chronics at: Scenario_december_219	total score: 22681.361328	time steps: 116/8062
chronics at: Scenario_december_249	total score: 144635.687500	time steps: 339/8062
chronics at: Scenario_december_251	total score: 27243.349609	time steps: 110/8062
chronics at: Scenario_february_084	total score: 62845.710938	time steps: 226/8062
chronics at: Scenario_february_091	total score: 35102.910156	time steps: 181/8062
chronics at: Scenario_february_118	total score: 68758.015625	time steps: 228/8062
chronics at: Scenario_february_129	total score: 116789.625000	time steps: 403/8062
chronics at: Scenario_february_138	total score: 137321.015625	time steps: 414/8062
chronics at: Scenario_february_173	total score: 42745.503906	time steps: 127/8062
chronics at: Scenario_february_182	total score: 1397.061035	time steps: 16/8062
chronics at: Scenario_february_185	total score: 52684.031250	time steps: 274/8062
chronics at: Scenario_february_197	total score: 9420.225586	time steps: 53/8062
chronics at: Scenario_february_210	total score: 20240.757812	time steps: 141/8062
chronics at: Scenario_february_228	total score: 639822.000000	time steps: 1128/8062
chronics at: Scenario_february_236	total score: 470668.406250	time steps: 683/8062
chronics at: Scenario_february_237	total score: 120735.976562	time steps: 416/8062
chronics at: Scenario_february_239	total score: 94608.257812	time steps: 539/8062
chronics at: Scenario_january_020	total score: 171616.000000	time steps: 496/8062
chronics at: Scenario_january_038	total score: 56943.984375	time steps: 242/8062
chronics at: Scenario_january_051	total score: 96750.101562	time steps: 361/8062
chronics at: Scenario_january_124	total score: 56042.468750	time steps: 222/8062
chronics at: Scenario_january_129	total score: 29189.552734	time steps: 163/8062
chronics at: Scenario_january_179	total score: 423514.375000	time steps: 683/8062
chronics at: Scenario_january_189	total score: 77812.703125	time steps: 292/8062
chronics at: Scenario_january_210	total score: 100407.226562	time steps: 365/8062
chronics at: Scenario_january_212	total score: 267263.812500	time steps: 622/8062
chronics at: Scenario_january_226	total score: 36786.824219	time steps: 118/8062
chronics at: Scenario_january_268	total score: 33549.800781	time steps: 225/8062
