chronics at: Scenario_april_038	total score: 161912.359375	time steps: 162/8062
chronics at: Scenario_april_084	total score: 123060.460938	time steps: 154/8062
chronics at: Scenario_april_111	total score: 181520.937500	time steps: 174/8062
chronics at: Scenario_april_136	total score: 213377.109375	time steps: 202/8062
chronics at: Scenario_april_137	total score: 137522.109375	time steps: 153/8062
chronics at: Scenario_april_144	total score: 186151.562500	time steps: 197/8062
chronics at: Scenario_april_191	total score: 175669.156250	time steps: 168/8062
chronics at: Scenario_april_211	total score: 130554.531250	time steps: 160/8062
chronics at: Scenario_april_214	total score: 9465.102539	time steps: 46/8062
chronics at: Scenario_april_265	total score: 128937.296875	time steps: 155/8062
chronics at: Scenario_august_030	total score: 143623.218750	time steps: 140/8062
chronics at: Scenario_august_035	total score: 147725.375000	time steps: 141/8062
chronics at: Scenario_august_060	total score: 143768.203125	time steps: 140/8062
chronics at: Scenario_august_115	total score: 131901.453125	time steps: 135/8062
chronics at: Scenario_august_139	total score: 148180.031250	time steps: 143/8062
chronics at: Scenario_august_151	total score: 127882.359375	time steps: 133/8062
chronics at: Scenario_august_218	total score: 131926.312500	time steps: 135/8062
chronics at: Scenario_august_237	total score: 131908.343750	time steps: 135/8062
chronics at: Scenario_august_254	total score: 131615.187500	time steps: 135/8062
chronics at: Scenario_december_007	total score: 109199.773438	time steps: 128/8062
chronics at: Scenario_december_037	total score: 136857.453125	time steps: 141/8062
chronics at: Scenario_december_043	total score: 139280.593750	time steps: 141/8062
chronics at: Scenario_december_045	total score: 61627.753906	time steps: 103/8062
chronics at: Scenario_december_066	total score: 92140.671875	time steps: 119/8062
chronics at: Scenario_december_088	total score: 4762.609375	time steps: 39/8062
chronics at: Scenario_december_107	total score: 38036.179688	time steps: 86/8062
chronics at: Scenario_december_112	total score: 141571.312500	time steps: 142/8062
chronics at: Scenario_december_115	total score: 90365.226562	time steps: 118/8062
chronics at: Scenario_december_117	total score: 48269.308594	time steps: 94/8062
chronics at: Scenario_december_130	total score: 86410.867188	time steps: 117/8062
chronics at: Scenario_december_151	total score: 120312.398438	time steps: 133/8062
chronics at: Scenario_december_206	total score: 21174.916016	time steps: 70/8062
chronics at: Scenario_december_215	total score: 97033.640625	time steps: 122/8062
chronics at: Scenario_december_217	total score: 130585.789062	time steps: 138/8062
chronics at: Scenario_december_219	total score: 105637.812500	time steps: 126/8062
chronics at: Scenario_december_249	total score: 144487.593750	time steps: 143/8062
chronics at: Scenario_december_251	total score: 146275.890625	time steps: 144/8062
chronics at: Scenario_february_084	total score: 33898.367188	time steps: 75/8062
chronics at: Scenario_february_091	total score: 33936.390625	time steps: 75/8062
chronics at: Scenario_february_118	total score: 1959.244873	time steps: 21/8062
chronics at: Scenario_february_129	total score: 32647.552734	time steps: 74/8062
chronics at: Scenario_february_138	total score: 33384.636719	time steps: 75/8062
chronics at: Scenario_february_173	total score: 30906.029297	time steps: 72/8062
chronics at: Scenario_february_182	total score: 30891.207031	time steps: 72/8062
chronics at: Scenario_february_185	total score: 28627.703125	time steps: 70/8062
chronics at: Scenario_february_197	total score: 4469.855957	time steps: 31/8062
chronics at: Scenario_february_210	total score: 35921.792969	time steps: 77/8062
chronics at: Scenario_february_228	total score: 33712.609375	time steps: 75/8062
chronics at: Scenario_february_236	total score: 36634.152344	time steps: 78/8062
chronics at: Scenario_february_237	total score: 39180.464844	time steps: 80/8062
chronics at: Scenario_february_239	total score: 34880.304688	time steps: 76/8062
chronics at: Scenario_january_020	total score: 142700.093750	time steps: 142/8062
chronics at: Scenario_january_038	total score: 168922.000000	time steps: 152/8062
chronics at: Scenario_january_051	total score: 95707.710938	time steps: 124/8062
chronics at: Scenario_january_124	total score: 67093.015625	time steps: 107/8062
chronics at: Scenario_january_129	total score: 129277.023438	time steps: 137/8062
chronics at: Scenario_january_179	total score: 126569.562500	time steps: 135/8062
chronics at: Scenario_january_189	total score: 167932.203125	time steps: 152/8062
chronics at: Scenario_january_210	total score: 145676.562500	time steps: 143/8062
chronics at: Scenario_january_212	total score: 45188.878906	time steps: 91/8062
chronics at: Scenario_january_226	total score: 147527.796875	time steps: 144/8062
chronics at: Scenario_january_268	total score: 128336.242188	time steps: 136/8062
chronics at: Scenario_july_008	total score: 8195.800781	time steps: 103/8062
chronics at: Scenario_july_022	total score: 6647.272461	time steps: 94/8062
chronics at: Scenario_july_130	total score: 157989.718750	time steps: 216/8062
chronics at: Scenario_july_141	total score: 149096.593750	time steps: 222/8062
chronics at: Scenario_july_156	total score: 125423.695312	time steps: 210/8062
chronics at: Scenario_july_197	total score: 157637.812500	time steps: 218/8062
chronics at: Scenario_july_205	total score: 152140.593750	time steps: 216/8062
chronics at: Scenario_july_222	total score: 166740.687500	time steps: 213/8062
chronics at: Scenario_july_333	total score: 157236.031250	time steps: 222/8062
chronics at: Scenario_june_007	total score: 196079.421875	time steps: 194/8062
chronics at: Scenario_june_041	total score: 7091.886230	time steps: 47/8062
chronics at: Scenario_june_063	total score: 226566.593750	time steps: 202/8062
chronics at: Scenario_june_095	total score: 199540.812500	time steps: 207/8062
chronics at: Scenario_june_135	total score: 193239.343750	time steps: 191/8062
chronics at: Scenario_june_197	total score: 205848.156250	time steps: 193/8062
chronics at: Scenario_june_225	total score: 244066.968750	time steps: 197/8062
chronics at: Scenario_march_000	total score: 41297.875000	time steps: 80/8062
chronics at: Scenario_march_007	total score: 43542.812500	time steps: 82/8062
chronics at: Scenario_march_012	total score: 52788.300781	time steps: 90/8062
chronics at: Scenario_march_013	total score: 42019.750000	time steps: 81/8062
chronics at: Scenario_march_027	total score: 44848.179688	time steps: 83/8062
chronics at: Scenario_march_094	total score: 43357.574219	time steps: 82/8062
chronics at: Scenario_march_236	total score: 55457.394531	time steps: 92/8062
chronics at: Scenario_march_237	total score: 40804.316406	time steps: 80/8062
chronics at: Scenario_march_245	total score: 43733.175781	time steps: 82/8062
chronics at: Scenario_march_254	total score: 43383.656250	time steps: 82/8062
chronics at: Scenario_may_028	total score: 230252.406250	time steps: 180/8062
chronics at: Scenario_may_031	total score: 150492.765625	time steps: 151/8062
chronics at: Scenario_may_037	total score: 143145.765625	time steps: 165/8062
chronics at: Scenario_may_052	total score: 163522.000000	time steps: 164/8062
chronics at: Scenario_may_066	total score: 235191.187500	time steps: 191/8062
chronics at: Scenario_may_130	total score: 130145.578125	time steps: 150/8062
chronics at: Scenario_may_239	total score: 162804.031250	time steps: 174/8062
chronics at: Scenario_may_264	total score: 156476.000000	time steps: 152/8062
chronics at: Scenario_may_271	total score: 251512.781250	time steps: 187/8062
chronics at: Scenario_may_311	total score: 173931.531250	time steps: 165/8062
chronics at: Scenario_may_314	total score: 166710.656250	time steps: 166/8062
chronics at: Scenario_may_338	total score: 170924.562500	time steps: 163/8062
chronics at: Scenario_may_343	total score: 6324.132812	time steps: 40/8062
chronics at: Scenario_november_009	total score: 367458.156250	time steps: 325/8062
chronics at: Scenario_november_051	total score: 327581.812500	time steps: 318/8062
chronics at: Scenario_november_063	total score: 106748.601562	time steps: 131/8062
chronics at: Scenario_november_077	total score: 369205.843750	time steps: 309/8062
chronics at: Scenario_november_086	total score: 130995.265625	time steps: 147/8062
chronics at: Scenario_november_100	total score: 121923.093750	time steps: 131/8062
chronics at: Scenario_november_104	total score: 87200.546875	time steps: 130/8062
chronics at: Scenario_november_121	total score: 376549.468750	time steps: 273/8062
chronics at: Scenario_november_150	total score: 110446.625000	time steps: 145/8062
chronics at: Scenario_november_166	total score: 80413.875000	time steps: 140/8062
chronics at: Scenario_november_174	total score: 83642.437500	time steps: 128/8062
chronics at: Scenario_november_190	total score: 366446.218750	time steps: 308/8062
chronics at: Scenario_november_218	total score: 390314.250000	time steps: 312/8062
chronics at: Scenario_november_229	total score: 331210.375000	time steps: 296/8062
chronics at: Scenario_november_249	total score: 102440.101562	time steps: 126/8062
chronics at: Scenario_november_256	total score: 334779.093750	time steps: 350/8062
chronics at: Scenario_november_268	total score: 82959.562500	time steps: 119/8062
chronics at: Scenario_october_010	total score: 121207.765625	time steps: 134/8062
chronics at: Scenario_october_011	total score: 15021.171875	time steps: 62/8062
chronics at: Scenario_october_013	total score: 43857.437500	time steps: 92/8062
chronics at: Scenario_october_019	total score: 86839.765625	time steps: 120/8062
chronics at: Scenario_october_034	total score: 126541.312500	time steps: 136/8062
chronics at: Scenario_october_044	total score: 177528.484375	time steps: 156/8062
chronics at: Scenario_october_086	total score: 204998.281250	time steps: 166/8062
chronics at: Scenario_october_113	total score: 177041.796875	time steps: 155/8062
chronics at: Scenario_october_142	total score: 112985.773438	time steps: 130/8062
chronics at: Scenario_october_176	total score: 172860.656250	time steps: 155/8062
chronics at: Scenario_october_179	total score: 129951.070312	time steps: 138/8062
chronics at: Scenario_october_180	total score: 172134.406250	time steps: 154/8062
chronics at: Scenario_october_181	total score: 163214.953125	time steps: 151/8062
chronics at: Scenario_october_230	total score: 177167.718750	time steps: 156/8062
chronics at: Scenario_october_231	total score: 172174.671875	time steps: 154/8062
chronics at: Scenario_october_236	total score: 170222.203125	time steps: 153/8062
chronics at: Scenario_october_248	total score: 174555.796875	time steps: 155/8062
chronics at: Scenario_october_252	total score: 179293.015625	time steps: 158/8062
chronics at: Scenario_october_255	total score: 140984.109375	time steps: 142/8062
chronics at: Scenario_october_267	total score: 225381.937500	time steps: 174/8062
chronics at: Scenario_september_038	total score: 3191.071777	time steps: 31/8062
chronics at: Scenario_september_045	total score: 1205.996338	time steps: 21/8062
chronics at: Scenario_september_071	total score: 159100.343750	time steps: 146/8062
chronics at: Scenario_september_081	total score: 207879.640625	time steps: 167/8062
chronics at: Scenario_september_085	total score: 158188.093750	time steps: 156/8062
chronics at: Scenario_september_112	total score: 159722.093750	time steps: 149/8062
chronics at: Scenario_september_113	total score: 162272.031250	time steps: 148/8062
chronics at: Scenario_september_127	total score: 145621.187500	time steps: 150/8062
chronics at: Scenario_september_136	total score: 156110.171875	time steps: 148/8062
chronics at: Scenario_september_150	total score: 225605.625000	time steps: 178/8062
chronics at: Scenario_september_201	total score: 166505.203125	time steps: 157/8062
chronics at: Scenario_september_205	total score: 136712.093750	time steps: 139/8062
