05-12 01:21 | DEBUG   | src.AutoGrid             | 126  | Format logger configured [{'fmt': '{asctime} | {levelname:7s} | {name:24s} | {lineno:<4n} | {message}', 'style': '{', 'datefmt': '%m-%d %H:%M'}]
05-12 01:21 | DEBUG   | src.AutoGrid             | 127  | Console logger configured [{'level': 'DEBUG'}]
05-12 01:21 | DEBUG   | src.AutoGrid             | 128  | File logger configured [{'level': 'DEBUG', 'filename': './agents_EpisodeDurationReward\\all_execution_log.log', 'mode': 'a'}]
05-12 01:21 | INFO    | experiments.sb3_grid_ace.final.base_IncreasingFlatReward | 33   | Executing experiment file ~\AutoGrid\experiments\sb3_grid_ace\final\all_EpisodeDurationReward.py
05-12 01:21 | INFO    | src.AutoGrid             | 187  | Starting execution.
05-12 01:21 | INFO    | src.AutoGrid             | 191  | Executing experiment [experiment_Do_Nothing]
05-12 01:21 | DEBUG   | src.helpers              | 81   | Conflict at values of experiment_Do_Nothing[maker]=<function create_do_nothing_agent at 0x000002CF8D7751F0> with common[maker]=<function create_agent_sb3 at 0x000002CF8E0325E0>
05-12 01:21 | DEBUG   | src.helpers              | 81   | Conflict at values of experiment_Do_Nothing[training]=None with common[training]=DEFAULT
05-12 01:21 | DEBUG   | src.AutoGrid             | 147  | Creating backend [<class 'lightsim2grid.lightSimBackend.LightSimBackend'>]
05-12 01:21 | DEBUG   | src.AutoGrid             | 160  | Creating a new environment using <function make at 0x000002CF8D6D5040>(([], {'dataset': 'l2rpn_icaps_2021_large_train', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.episodeDurationReward.EpisodeDurationReward'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000002CF9410F4C0>}))
05-12 01:21 | DEBUG   | src.AutoGrid             | 175  | Creating a new evaluation environment using <function make at 0x000002CF8D6D5040>(([], {'dataset': 'l2rpn_icaps_2021_large_val', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000002CF9410F4F0>}))
05-12 01:21 | INFO    | src.AutoGrid             | 199  | Training agent with [None]
05-12 01:21 | DEBUG   | src.trainner.trainer     | 27   | Training agent [<grid2op.Agent.doNothing.DoNothingAgent object at 0x000002CF97141CA0>] with trainner: None({'total_timesteps': 10000000, 'reset_num_timesteps': False, 'add_training': False, 'save_path': './agents_EpisodeDurationReward\\Do_Nothing', 'tb_log_name': 'Do_Nothing'})
05-12 01:21 | WARNING | src.trainner.trainer     | 39   | [None] is not a valid training method or class.
05-12 01:21 | INFO    | src.AutoGrid             | 205  | Evaluating agent with [GRID2OP_BASELINE]
