chronics at: Scenario_april_038	total score: 196791.437500	time steps: 202/8062
chronics at: Scenario_april_084	total score: 154177.625000	time steps: 167/8062
chronics at: Scenario_april_111	total score: 358977.625000	time steps: 407/8062
chronics at: Scenario_april_136	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_137	total score: 373395.031250	time steps: 414/8062
chronics at: Scenario_april_144	total score: 10186.880859	time steps: 22/8062
chronics at: Scenario_april_191	total score: 39835.550781	time steps: 64/8062
chronics at: Scenario_april_211	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_214	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_april_265	total score: 176431.875000	time steps: 182/8062
chronics at: Scenario_august_030	total score: 88432.117188	time steps: 110/8062
chronics at: Scenario_august_035	total score: 83598.046875	time steps: 102/8062
chronics at: Scenario_august_060	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_115	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_139	total score: 165845.890625	time steps: 149/8062
chronics at: Scenario_august_151	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_218	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_august_237	total score: 149254.468750	time steps: 138/8062
chronics at: Scenario_august_254	total score: 104469.031250	time steps: 114/8062
chronics at: Scenario_december_007	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_037	total score: 190571.515625	time steps: 150/8062
chronics at: Scenario_december_043	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_045	total score: 295235.468750	time steps: 214/8062
chronics at: Scenario_december_066	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_088	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_107	total score: 17461.529297	time steps: 20/8062
chronics at: Scenario_december_112	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_115	total score: 4812.997559	time steps: 10/8062
chronics at: Scenario_december_117	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_130	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_151	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_206	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_215	total score: 28899.865234	time steps: 29/8062
chronics at: Scenario_december_217	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_219	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_249	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_december_251	total score: 7659.676758	time steps: 12/8062
chronics at: Scenario_february_084	total score: 110987.226562	time steps: 135/8062
chronics at: Scenario_february_091	total score: 87529.781250	time steps: 115/8062
chronics at: Scenario_february_118	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_129	total score: 110722.031250	time steps: 131/8062
chronics at: Scenario_february_138	total score: 88234.945312	time steps: 118/8062
chronics at: Scenario_february_173	total score: 108172.171875	time steps: 127/8062
chronics at: Scenario_february_182	total score: 233143.531250	time steps: 255/8062
chronics at: Scenario_february_185	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_197	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_210	total score: 122747.492188	time steps: 143/8062
chronics at: Scenario_february_228	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_236	total score: 131268.234375	time steps: 149/8062
chronics at: Scenario_february_237	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_february_239	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_020	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_038	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_051	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_124	total score: 109254.843750	time steps: 134/8062
chronics at: Scenario_january_129	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_179	total score: 119746.296875	time steps: 138/8062
chronics at: Scenario_january_189	total score: 135457.718750	time steps: 142/8062
chronics at: Scenario_january_210	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_212	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_226	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_january_268	total score: 36361.414062	time steps: 50/8062
chronics at: Scenario_july_008	total score: 116296.351562	time steps: 136/8062
chronics at: Scenario_july_022	total score: 82096.968750	time steps: 118/8062
chronics at: Scenario_july_130	total score: 73586.031250	time steps: 110/8062
chronics at: Scenario_july_141	total score: 111810.281250	time steps: 135/8062
chronics at: Scenario_july_156	total score: 54959.292969	time steps: 91/8062
chronics at: Scenario_july_197	total score: 135578.687500	time steps: 147/8062
chronics at: Scenario_july_205	total score: 61633.859375	time steps: 95/8062
chronics at: Scenario_july_222	total score: 86228.851562	time steps: 119/8062
chronics at: Scenario_july_333	total score: 54649.843750	time steps: 94/8062
chronics at: Scenario_june_007	total score: 363006.062500	time steps: 383/8062
chronics at: Scenario_june_041	total score: 121237.953125	time steps: 131/8062
chronics at: Scenario_june_063	total score: 73242.539062	time steps: 98/8062
chronics at: Scenario_june_095	total score: 121353.296875	time steps: 129/8062
chronics at: Scenario_june_135	total score: 42295.183594	time steps: 69/8062
chronics at: Scenario_june_197	total score: 95021.312500	time steps: 118/8062
chronics at: Scenario_june_225	total score: 117258.007812	time steps: 127/8062
chronics at: Scenario_march_000	total score: 133507.515625	time steps: 143/8062
chronics at: Scenario_march_007	total score: 90149.070312	time steps: 111/8062
chronics at: Scenario_march_012	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_march_013	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_march_027	total score: 144497.390625	time steps: 149/8062
chronics at: Scenario_march_094	total score: 82721.546875	time steps: 106/8062
chronics at: Scenario_march_236	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_march_237	total score: 52771.695312	time steps: 74/8062
chronics at: Scenario_march_245	total score: 103321.921875	time steps: 121/8062
chronics at: Scenario_march_254	total score: 102001.617188	time steps: 122/8062
chronics at: Scenario_may_028	total score: 109528.515625	time steps: 122/8062
chronics at: Scenario_may_031	total score: 13666.435547	time steps: 27/8062
chronics at: Scenario_may_037	total score: 155962.656250	time steps: 150/8062
chronics at: Scenario_may_052	total score: 8687.305664	time steps: 20/8062
chronics at: Scenario_may_066	total score: 23180.041016	time steps: 41/8062
chronics at: Scenario_may_130	total score: 177250.703125	time steps: 167/8062
chronics at: Scenario_may_239	total score: 114073.093750	time steps: 122/8062
chronics at: Scenario_may_264	total score: 111570.109375	time steps: 123/8062
chronics at: Scenario_may_271	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_may_311	total score: 173133.437500	time steps: 163/8062
chronics at: Scenario_may_314	total score: 2516.561523	time steps: 9/8062
chronics at: Scenario_may_338	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_may_343	total score: 379622.687500	time steps: 389/8062
chronics at: Scenario_november_009	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_051	total score: 29051.158203	time steps: 26/8062
chronics at: Scenario_november_063	total score: 28861.976562	time steps: 26/8062
chronics at: Scenario_november_077	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_086	total score: 23600.244141	time steps: 23/8062
chronics at: Scenario_november_100	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_104	total score: 26092.185547	time steps: 24/8062
chronics at: Scenario_november_121	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_150	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_166	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_174	total score: 23455.185547	time steps: 23/8062
chronics at: Scenario_november_190	total score: 25814.970703	time steps: 25/8062
chronics at: Scenario_november_218	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_229	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_249	total score: 1.000000	time steps: 1/8062
chronics at: Scenario_november_256	total score: 31093.523438	time steps: 25/8062
