chronics at: Scenario_april_038	total score: 305550.406250	time steps: 792/8062
chronics at: Scenario_april_084	total score: 270541.843750	time steps: 498/8062
chronics at: Scenario_april_111	total score: 534234.437500	time steps: 832/8062
chronics at: Scenario_april_136	total score: 1225549.250000	time steps: 1404/8062
chronics at: Scenario_april_137	total score: 540041.375000	time steps: 791/8062
chronics at: Scenario_april_144	total score: 514337.031250	time steps: 1185/8062
chronics at: Scenario_april_191	total score: 313659.562500	time steps: 435/8062
chronics at: Scenario_april_211	total score: 344838.375000	time steps: 794/8062
chronics at: Scenario_april_214	total score: 721741.000000	time steps: 1065/8062
chronics at: Scenario_april_265	total score: 16127.284180	time steps: 203/8062
chronics at: Scenario_august_030	total score: 71418.640625	time steps: 298/8062
chronics at: Scenario_august_035	total score: 229968.390625	time steps: 537/8062
chronics at: Scenario_august_060	total score: 651909.250000	time steps: 811/8062
chronics at: Scenario_august_115	total score: 27482.423828	time steps: 494/8062
chronics at: Scenario_august_139	total score: 648289.000000	time steps: 767/8062
chronics at: Scenario_august_151	total score: 340424.687500	time steps: 502/8062
chronics at: Scenario_august_218	total score: 524145.500000	time steps: 806/8062
chronics at: Scenario_august_237	total score: 645087.875000	time steps: 707/8062
chronics at: Scenario_august_254	total score: 647927.062500	time steps: 807/8062
chronics at: Scenario_december_007	total score: 103537.054688	time steps: 677/8062
chronics at: Scenario_december_037	total score: 234340.296875	time steps: 667/8062
chronics at: Scenario_december_043	total score: 247258.343750	time steps: 503/8062
chronics at: Scenario_december_045	total score: 11846.699219	time steps: 111/8062
chronics at: Scenario_december_066	total score: 7139.945801	time steps: 159/8062
chronics at: Scenario_december_088	total score: 11439.055664	time steps: 70/8062
chronics at: Scenario_december_107	total score: 241052.609375	time steps: 516/8062
chronics at: Scenario_december_112	total score: 18095.945312	time steps: 166/8062
chronics at: Scenario_december_115	total score: 14807.193359	time steps: 234/8062
chronics at: Scenario_december_117	total score: 46045.164062	time steps: 287/8062
chronics at: Scenario_december_130	total score: 192835.515625	time steps: 658/8062
chronics at: Scenario_december_151	total score: 61615.558594	time steps: 407/8062
chronics at: Scenario_december_206	total score: 64156.281250	time steps: 628/8062
chronics at: Scenario_december_215	total score: 83989.359375	time steps: 538/8062
chronics at: Scenario_december_217	total score: 5793.808594	time steps: 138/8062
chronics at: Scenario_december_219	total score: 244282.109375	time steps: 702/8062
chronics at: Scenario_december_249	total score: 61616.894531	time steps: 654/8062
chronics at: Scenario_december_251	total score: 1632.776123	time steps: 32/8062
chronics at: Scenario_february_084	total score: 54305.437500	time steps: 213/8062
chronics at: Scenario_february_091	total score: 15219.602539	time steps: 227/8062
chronics at: Scenario_february_118	total score: 15405.211914	time steps: 158/8062
chronics at: Scenario_february_129	total score: 61472.429688	time steps: 407/8062
chronics at: Scenario_february_138	total score: 6987.024902	time steps: 113/8062
chronics at: Scenario_february_173	total score: 15543.574219	time steps: 242/8062
chronics at: Scenario_february_182	total score: 4604.338867	time steps: 74/8062
chronics at: Scenario_february_185	total score: 13071.681641	time steps: 223/8062
chronics at: Scenario_february_197	total score: 23531.882812	time steps: 217/8062
chronics at: Scenario_february_210	total score: 27671.830078	time steps: 247/8062
chronics at: Scenario_february_228	total score: 46802.183594	time steps: 213/8062
chronics at: Scenario_february_236	total score: 42469.437500	time steps: 295/8062
chronics at: Scenario_february_237	total score: 30230.568359	time steps: 202/8062
chronics at: Scenario_february_239	total score: 59218.128906	time steps: 213/8062
chronics at: Scenario_january_020	total score: 49975.785156	time steps: 226/8062
chronics at: Scenario_january_038	total score: 180437.390625	time steps: 367/8062
chronics at: Scenario_january_051	total score: 77594.820312	time steps: 500/8062
chronics at: Scenario_january_124	total score: 45207.632812	time steps: 366/8062
chronics at: Scenario_january_129	total score: 244474.109375	time steps: 490/8062
chronics at: Scenario_january_179	total score: 615454.062500	time steps: 726/8062
chronics at: Scenario_january_189	total score: 34825.601562	time steps: 261/8062
chronics at: Scenario_january_210	total score: 100780.898438	time steps: 282/8062
chronics at: Scenario_january_212	total score: 7334.397949	time steps: 71/8062
chronics at: Scenario_january_226	total score: 18410.400391	time steps: 440/8062
chronics at: Scenario_january_268	total score: 13423.507812	time steps: 158/8062
chronics at: Scenario_july_008	total score: 487583.750000	time steps: 785/8062
chronics at: Scenario_july_022	total score: 588373.937500	time steps: 1073/8062
chronics at: Scenario_july_130	total score: 910735.875000	time steps: 1319/8062
chronics at: Scenario_july_141	total score: 394421.781250	time steps: 506/8062
chronics at: Scenario_july_156	total score: 409467.250000	time steps: 854/8062
chronics at: Scenario_july_197	total score: 281045.718750	time steps: 509/8062
chronics at: Scenario_july_205	total score: 714855.250000	time steps: 805/8062
chronics at: Scenario_july_222	total score: 480252.625000	time steps: 615/8062
chronics at: Scenario_july_333	total score: 581479.000000	time steps: 905/8062
chronics at: Scenario_june_007	total score: 848314.937500	time steps: 1086/8062
chronics at: Scenario_june_041	total score: 69213.460938	time steps: 523/8062
chronics at: Scenario_june_063	total score: 1120210.000000	time steps: 1077/8062
chronics at: Scenario_june_095	total score: 477006.500000	time steps: 871/8062
chronics at: Scenario_june_135	total score: 5083.077637	time steps: 219/8062
chronics at: Scenario_june_197	total score: 305899.750000	time steps: 516/8062
chronics at: Scenario_june_225	total score: 326837.500000	time steps: 526/8062
chronics at: Scenario_march_000	total score: 3037.667236	time steps: 59/8062
chronics at: Scenario_march_007	total score: 8748.331055	time steps: 98/8062
chronics at: Scenario_march_012	total score: 46227.578125	time steps: 343/8062
chronics at: Scenario_march_013	total score: 26364.376953	time steps: 294/8062
chronics at: Scenario_march_027	total score: 62909.824219	time steps: 519/8062
chronics at: Scenario_march_094	total score: 24496.511719	time steps: 193/8062
chronics at: Scenario_march_236	total score: 7737.103027	time steps: 148/8062
chronics at: Scenario_march_237	total score: 99757.578125	time steps: 230/8062
chronics at: Scenario_march_245	total score: 69961.328125	time steps: 520/8062
chronics at: Scenario_march_254	total score: 81751.195312	time steps: 434/8062
chronics at: Scenario_may_028	total score: 3621.366699	time steps: 214/8062
chronics at: Scenario_may_031	total score: 282998.843750	time steps: 556/8062
chronics at: Scenario_may_037	total score: 719117.187500	time steps: 769/8062
chronics at: Scenario_may_052	total score: 235036.734375	time steps: 514/8062
chronics at: Scenario_may_066	total score: 2283.403564	time steps: 76/8062
chronics at: Scenario_may_130	total score: 681261.750000	time steps: 781/8062
chronics at: Scenario_may_239	total score: 1221105.125000	time steps: 1073/8062
chronics at: Scenario_may_264	total score: 432210.156250	time steps: 589/8062
chronics at: Scenario_may_271	total score: 505879.187500	time steps: 795/8062
chronics at: Scenario_may_311	total score: 363904.593750	time steps: 503/8062
chronics at: Scenario_may_314	total score: 405590.500000	time steps: 854/8062
chronics at: Scenario_may_338	total score: 353247.562500	time steps: 602/8062
chronics at: Scenario_may_343	total score: 620031.562500	time steps: 1089/8062
chronics at: Scenario_november_009	total score: 13172.338867	time steps: 180/8062
chronics at: Scenario_november_051	total score: 33562.460938	time steps: 487/8062
chronics at: Scenario_november_063	total score: 9996.506836	time steps: 131/8062
chronics at: Scenario_november_077	total score: 44368.535156	time steps: 414/8062
chronics at: Scenario_november_086	total score: 33936.207031	time steps: 272/8062
chronics at: Scenario_november_100	total score: 6018.244629	time steps: 120/8062
chronics at: Scenario_november_104	total score: 5739.127930	time steps: 140/8062
chronics at: Scenario_november_121	total score: 8869.124023	time steps: 94/8062
chronics at: Scenario_november_150	total score: 64877.871094	time steps: 387/8062
chronics at: Scenario_november_166	total score: 7740.846680	time steps: 140/8062
chronics at: Scenario_november_174	total score: 677302.687500	time steps: 1293/8062
chronics at: Scenario_november_190	total score: 28006.642578	time steps: 423/8062
chronics at: Scenario_november_218	total score: 6564.818848	time steps: 207/8062
chronics at: Scenario_november_229	total score: 28930.525391	time steps: 544/8062
chronics at: Scenario_november_249	total score: 9746.679688	time steps: 131/8062
chronics at: Scenario_november_256	total score: 5993.821289	time steps: 119/8062
chronics at: Scenario_november_268	total score: 8035.762207	time steps: 120/8062
chronics at: Scenario_october_010	total score: 81877.164062	time steps: 467/8062
chronics at: Scenario_october_011	total score: 4575.615723	time steps: 138/8062
chronics at: Scenario_october_013	total score: 52380.906250	time steps: 425/8062
chronics at: Scenario_october_019	total score: 75742.937500	time steps: 733/8062
chronics at: Scenario_october_034	total score: 166511.500000	time steps: 742/8062
chronics at: Scenario_october_044	total score: 6032.950684	time steps: 166/8062
chronics at: Scenario_october_086	total score: 99364.757812	time steps: 721/8062
chronics at: Scenario_october_113	total score: 461213.625000	time steps: 652/8062
chronics at: Scenario_october_142	total score: 1906420.375000	time steps: 1394/8062
chronics at: Scenario_october_176	total score: 65531.175781	time steps: 766/8062
chronics at: Scenario_october_179	total score: 113195.304688	time steps: 593/8062
chronics at: Scenario_october_180	total score: 297311.812500	time steps: 717/8062
chronics at: Scenario_october_181	total score: 24296.734375	time steps: 213/8062
chronics at: Scenario_october_230	total score: 716858.937500	time steps: 1378/8062
chronics at: Scenario_october_231	total score: 51355.089844	time steps: 368/8062
chronics at: Scenario_october_236	total score: 853071.125000	time steps: 1055/8062
chronics at: Scenario_october_248	total score: 579228.125000	time steps: 938/8062
chronics at: Scenario_october_252	total score: 76552.210938	time steps: 588/8062
chronics at: Scenario_october_255	total score: 7320.757324	time steps: 146/8062
chronics at: Scenario_october_267	total score: 4722.220703	time steps: 99/8062
