chronics at: Scenario_april_038	total score: 457351.343750	time steps: 1128/8062
chronics at: Scenario_april_084	total score: 615788.750000	time steps: 1370/8062
chronics at: Scenario_april_111	total score: 86145.890625	time steps: 529/8062
chronics at: Scenario_april_136	total score: 25667.980469	time steps: 206/8062
chronics at: Scenario_april_137	total score: 222930.078125	time steps: 710/8062
chronics at: Scenario_april_144	total score: 13723.244141	time steps: 204/8062
chronics at: Scenario_april_191	total score: 398982.562500	time steps: 722/8062
chronics at: Scenario_april_211	total score: 1150406.250000	time steps: 1657/8062
chronics at: Scenario_april_214	total score: 1409273.250000	time steps: 2004/8062
chronics at: Scenario_april_265	total score: 528044.375000	time steps: 1095/8062
chronics at: Scenario_august_030	total score: 186775.062500	time steps: 720/8062
chronics at: Scenario_august_035	total score: 662235.312500	time steps: 1399/8062
chronics at: Scenario_august_060	total score: 1108993.375000	time steps: 1667/8062
chronics at: Scenario_august_115	total score: 869513.687500	time steps: 1418/8062
chronics at: Scenario_august_139	total score: 223320.421875	time steps: 735/8062
chronics at: Scenario_august_151	total score: 2516.572266	time steps: 60/8062
chronics at: Scenario_august_218	total score: 1402540.250000	time steps: 2226/8062
chronics at: Scenario_august_237	total score: 96497.750000	time steps: 454/8062
chronics at: Scenario_august_254	total score: 1297287.875000	time steps: 1951/8062
chronics at: Scenario_december_007	total score: 263411.875000	time steps: 729/8062
chronics at: Scenario_december_037	total score: 5248.252930	time steps: 84/8062
chronics at: Scenario_december_043	total score: 104342.921875	time steps: 520/8062
chronics at: Scenario_december_045	total score: 50093.742188	time steps: 267/8062
chronics at: Scenario_december_066	total score: 44105.820312	time steps: 317/8062
chronics at: Scenario_december_088	total score: 11397.310547	time steps: 138/8062
chronics at: Scenario_december_107	total score: 254445.046875	time steps: 689/8062
chronics at: Scenario_december_112	total score: 192071.718750	time steps: 713/8062
chronics at: Scenario_december_115	total score: 13386.047852	time steps: 106/8062
chronics at: Scenario_december_117	total score: 32800.890625	time steps: 242/8062
chronics at: Scenario_december_130	total score: 9521.963867	time steps: 160/8062
chronics at: Scenario_december_151	total score: 115702.000000	time steps: 557/8062
chronics at: Scenario_december_206	total score: 490730.312500	time steps: 1034/8062
chronics at: Scenario_december_215	total score: 338414.156250	time steps: 991/8062
chronics at: Scenario_december_217	total score: 13009.933594	time steps: 154/8062
chronics at: Scenario_december_219	total score: 363439.000000	time steps: 994/8062
chronics at: Scenario_december_249	total score: 218935.921875	time steps: 761/8062
chronics at: Scenario_december_251	total score: 8561.520508	time steps: 127/8062
chronics at: Scenario_february_084	total score: 42453.097656	time steps: 223/8062
chronics at: Scenario_february_091	total score: 11406.508789	time steps: 113/8062
chronics at: Scenario_february_118	total score: 26250.535156	time steps: 217/8062
chronics at: Scenario_february_129	total score: 81168.664062	time steps: 415/8062
chronics at: Scenario_february_138	total score: 121434.476562	time steps: 507/8062
chronics at: Scenario_february_173	total score: 8375.137695	time steps: 106/8062
chronics at: Scenario_february_182	total score: 47090.437500	time steps: 248/8062
chronics at: Scenario_february_185	total score: 28468.152344	time steps: 228/8062
chronics at: Scenario_february_197	total score: 24283.626953	time steps: 217/8062
chronics at: Scenario_february_210	total score: 40312.488281	time steps: 256/8062
chronics at: Scenario_february_228	total score: 31275.853516	time steps: 222/8062
chronics at: Scenario_february_236	total score: 6550.816406	time steps: 103/8062
chronics at: Scenario_february_237	total score: 41377.371094	time steps: 251/8062
chronics at: Scenario_february_239	total score: 120591.968750	time steps: 502/8062
chronics at: Scenario_january_020	total score: 111583.656250	time steps: 506/8062
chronics at: Scenario_january_038	total score: 187235.218750	time steps: 658/8062
chronics at: Scenario_january_051	total score: 105348.984375	time steps: 506/8062
chronics at: Scenario_january_124	total score: 9648.089844	time steps: 144/8062
chronics at: Scenario_january_129	total score: 43935.859375	time steps: 280/8062
chronics at: Scenario_january_179	total score: 226310.718750	time steps: 704/8062
chronics at: Scenario_january_189	total score: 101797.640625	time steps: 507/8062
chronics at: Scenario_january_210	total score: 42546.781250	time steps: 286/8062
chronics at: Scenario_january_212	total score: 140870.140625	time steps: 563/8062
chronics at: Scenario_january_226	total score: 23926.830078	time steps: 280/8062
chronics at: Scenario_january_268	total score: 61867.566406	time steps: 388/8062
chronics at: Scenario_july_008	total score: 121494.601562	time steps: 462/8062
chronics at: Scenario_july_022	total score: 460122.531250	time steps: 1082/8062
chronics at: Scenario_july_130	total score: 1730500.875000	time steps: 2368/8062
chronics at: Scenario_july_141	total score: 831937.125000	time steps: 1412/8062
chronics at: Scenario_july_156	total score: 136435.015625	time steps: 536/8062
chronics at: Scenario_july_197	total score: 176366.468750	time steps: 577/8062
chronics at: Scenario_july_205	total score: 233904.703125	time steps: 867/8062
chronics at: Scenario_july_222	total score: 304819.437500	time steps: 798/8062
chronics at: Scenario_july_333	total score: 1333534.750000	time steps: 1748/8062
chronics at: Scenario_june_007	total score: 898887.750000	time steps: 1387/8062
chronics at: Scenario_june_041	total score: 167363.750000	time steps: 616/8062
chronics at: Scenario_june_063	total score: 2081597.625000	time steps: 2268/8062
chronics at: Scenario_june_095	total score: 1044205.187500	time steps: 1705/8062
chronics at: Scenario_june_135	total score: 8995.010742	time steps: 115/8062
chronics at: Scenario_june_197	total score: 113667.156250	time steps: 586/8062
chronics at: Scenario_june_225	total score: 31413.408203	time steps: 258/8062
chronics at: Scenario_march_000	total score: 1923.452881	time steps: 31/8062
chronics at: Scenario_march_007	total score: 729175.125000	time steps: 1286/8062
chronics at: Scenario_march_012	total score: 176217.546875	time steps: 542/8062
chronics at: Scenario_march_013	total score: 36319.820312	time steps: 218/8062
chronics at: Scenario_march_027	total score: 265303.656250	time steps: 919/8062
chronics at: Scenario_march_094	total score: 428772.750000	time steps: 1087/8062
chronics at: Scenario_march_236	total score: 21061.773438	time steps: 183/8062
chronics at: Scenario_march_237	total score: 78724.507812	time steps: 414/8062
chronics at: Scenario_march_245	total score: 1061302.500000	time steps: 1930/8062
chronics at: Scenario_march_254	total score: 220020.671875	time steps: 765/8062
chronics at: Scenario_may_028	total score: 1666662.250000	time steps: 2228/8062
chronics at: Scenario_may_031	total score: 1985774.500000	time steps: 2236/8062
chronics at: Scenario_may_037	total score: 116309.742188	time steps: 448/8062
chronics at: Scenario_may_052	total score: 1787789.125000	time steps: 1949/8062
chronics at: Scenario_may_066	total score: 924501.437500	time steps: 1748/8062
chronics at: Scenario_may_130	total score: 1198188.375000	time steps: 1737/8062
chronics at: Scenario_may_239	total score: 120782.273438	time steps: 538/8062
chronics at: Scenario_may_264	total score: 308136.906250	time steps: 786/8062
chronics at: Scenario_may_271	total score: 1492337.750000	time steps: 1959/8062
chronics at: Scenario_may_311	total score: 1473830.875000	time steps: 1948/8062
chronics at: Scenario_may_314	total score: 328514.500000	time steps: 933/8062
chronics at: Scenario_may_338	total score: 1409626.500000	time steps: 1973/8062
chronics at: Scenario_may_343	total score: 1252844.000000	time steps: 1946/8062
chronics at: Scenario_november_009	total score: 456759.500000	time steps: 907/8062
chronics at: Scenario_november_051	total score: 172420.078125	time steps: 511/8062
chronics at: Scenario_november_063	total score: 12075.414062	time steps: 170/8062
chronics at: Scenario_november_077	total score: 2048.841309	time steps: 54/8062
chronics at: Scenario_november_086	total score: 70539.812500	time steps: 416/8062
chronics at: Scenario_november_100	total score: 12618.903320	time steps: 120/8062
chronics at: Scenario_november_104	total score: 137267.750000	time steps: 492/8062
chronics at: Scenario_november_121	total score: 29653.441406	time steps: 199/8062
chronics at: Scenario_november_150	total score: 37817.480469	time steps: 254/8062
chronics at: Scenario_november_166	total score: 11217.743164	time steps: 125/8062
chronics at: Scenario_november_174	total score: 6439.672852	time steps: 81/8062
chronics at: Scenario_november_190	total score: 72218.507812	time steps: 413/8062
chronics at: Scenario_november_218	total score: 757415.250000	time steps: 1277/8062
chronics at: Scenario_november_229	total score: 29494.654297	time steps: 215/8062
chronics at: Scenario_november_249	total score: 7682.034668	time steps: 135/8062
chronics at: Scenario_november_256	total score: 10992.770508	time steps: 148/8062
chronics at: Scenario_november_268	total score: 11236.724609	time steps: 121/8062
chronics at: Scenario_october_010	total score: 143020.796875	time steps: 512/8062
chronics at: Scenario_october_011	total score: 3034.347656	time steps: 91/8062
chronics at: Scenario_october_013	total score: 186838.593750	time steps: 699/8062
chronics at: Scenario_october_019	total score: 8954.454102	time steps: 98/8062
chronics at: Scenario_october_034	total score: 347604.343750	time steps: 846/8062
chronics at: Scenario_october_044	total score: 59603.691406	time steps: 369/8062
chronics at: Scenario_october_086	total score: 607595.000000	time steps: 1202/8062
chronics at: Scenario_october_113	total score: 34894.765625	time steps: 235/8062
chronics at: Scenario_october_142	total score: 73398.820312	time steps: 453/8062
chronics at: Scenario_october_176	total score: 122498.546875	time steps: 567/8062
chronics at: Scenario_october_179	total score: 132560.312500	time steps: 538/8062
chronics at: Scenario_october_180	total score: 169932.312500	time steps: 813/8062
chronics at: Scenario_october_181	total score: 858200.812500	time steps: 1693/8062
chronics at: Scenario_october_230	total score: 408084.656250	time steps: 990/8062
chronics at: Scenario_october_231	total score: 117556.710938	time steps: 531/8062
chronics at: Scenario_october_236	total score: 851824.812500	time steps: 1644/8062
chronics at: Scenario_october_248	total score: 94301.640625	time steps: 457/8062
chronics at: Scenario_october_252	total score: 222756.250000	time steps: 799/8062
chronics at: Scenario_october_255	total score: 18985.841797	time steps: 155/8062
chronics at: Scenario_october_267	total score: 164417.578125	time steps: 627/8062
chronics at: Scenario_september_038	total score: 891993.937500	time steps: 1655/8062
chronics at: Scenario_september_045	total score: 515328.593750	time steps: 1104/8062
chronics at: Scenario_september_071	total score: 542921.375000	time steps: 1098/8062
chronics at: Scenario_september_081	total score: 279177.125000	time steps: 779/8062
chronics at: Scenario_september_085	total score: 409763.843750	time steps: 1042/8062
chronics at: Scenario_september_112	total score: 535842.375000	time steps: 1017/8062
chronics at: Scenario_september_113	total score: 2020.726562	time steps: 81/8062
chronics at: Scenario_september_127	total score: 429328.062500	time steps: 1079/8062
chronics at: Scenario_september_136	total score: 680287.187500	time steps: 1389/8062
chronics at: Scenario_september_150	total score: 342713.656250	time steps: 1062/8062
chronics at: Scenario_september_201	total score: 1008805.000000	time steps: 1649/8062
chronics at: Scenario_september_205	total score: 1004413.375000	time steps: 1499/8062
