08-09 00:39 | DEBUG   | src.AutoGrid             | 126  | Format logger configured [{'fmt': '{asctime} | {levelname:7s} | {name:24s} | {lineno:<4n} | {message}', 'style': '{', 'datefmt': '%m-%d %H:%M'}]
08-09 00:39 | DEBUG   | src.AutoGrid             | 127  | Console logger configured [{'level': 'DEBUG'}]
08-09 00:39 | DEBUG   | src.AutoGrid             | 128  | File logger configured [{'level': 'DEBUG', 'filename': './agents_RedispReward\\all_execution_log.log', 'mode': 'a'}]
08-09 00:39 | INFO    | experiments.sb3_grid_ace.final.base_IncreasingFlatReward | 33   | Executing experiment file ~\AutoGrid\experiments\sb3_grid_ace\final\all_RedispReward.py
08-09 00:39 | INFO    | src.AutoGrid             | 187  | Starting execution.
08-09 00:39 | INFO    | src.AutoGrid             | 191  | Executing experiment [experiment_Do_Nothing]
08-09 00:39 | DEBUG   | src.helpers              | 81   | Conflict at values of experiment_Do_Nothing[maker]=<function create_do_nothing_agent at 0x000001C3820541F0> with common[maker]=<function create_agent_sb3 at 0x000001C382912670>
08-09 00:39 | DEBUG   | src.helpers              | 81   | Conflict at values of experiment_Do_Nothing[training]=None with common[training]=DEFAULT
08-09 00:39 | DEBUG   | src.AutoGrid             | 147  | Creating backend [<class 'lightsim2grid.lightSimBackend.LightSimBackend'>]
08-09 00:39 | DEBUG   | src.AutoGrid             | 160  | Creating a new environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_train', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.redispReward.RedispReward'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C388C7F340>}))
08-09 00:39 | DEBUG   | src.AutoGrid             | 175  | Creating a new evaluation environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_val', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C388C7F370>}))
08-09 00:39 | INFO    | src.AutoGrid             | 199  | Training agent with [None]
08-09 00:39 | DEBUG   | src.trainner.trainer     | 27   | Training agent [<grid2op.Agent.doNothing.DoNothingAgent object at 0x000001C38BD37BB0>] with trainner: None({'total_timesteps': 10000000, 'reset_num_timesteps': False, 'add_training': False, 'save_path': './agents_RedispReward\\Do_Nothing', 'tb_log_name': 'Do_Nothing'})
08-09 00:39 | WARNING | src.trainner.trainer     | 39   | [None] is not a valid training method or class.
08-09 00:39 | INFO    | src.AutoGrid             | 205  | Evaluating agent with [GRID2OP_BASELINE]
08-09 00:39 | DEBUG   | src.evaluators.evaluator | 31   | evaluation env: <Environment_l2rpn_icaps_2021_large_val instance named l2rpn_icaps_2021_large_val>
08-09 00:39 | DEBUG   | src.evaluators.evaluator | 33   | evaluation reward: <grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore object at 0x000001C38BC6EA00>
08-09 00:45 | DEBUG   | src.AutoGrid             | 210  | Execution finished, cleaning up resources.
08-09 00:45 | INFO    | src.AutoGrid             | 191  | Executing experiment [experiment_A2C_box]
08-09 00:45 | DEBUG   | src.AutoGrid             | 147  | Creating backend [<class 'lightsim2grid.lightSimBackend.LightSimBackend'>]
08-09 00:45 | DEBUG   | src.AutoGrid             | 160  | Creating a new environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_train', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.redispReward.RedispReward'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C38B8E2460>}))
08-09 00:45 | DEBUG   | src.AutoGrid             | 175  | Creating a new evaluation environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_val', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C3828DDDC0>}))
08-09 00:45 | DEBUG   | src.makers.SB3           | 24   | Environment [<Environment_l2rpn_icaps_2021_large_train instance named l2rpn_icaps_2021_large_train>]
08-09 00:45 | DEBUG   | src.makers.SB3           | 40   | Gym Environment [<CustomGymEnv instance>]
08-09 00:45 | DEBUG   | src.makers.SB3           | 50   | Creating new gym observation space using <class 'grid2op.gym_compat.box_gym_obsspace.BoxGymnasiumObsSpace'> with arguments {'attr_to_keep': ['gen_p', 'gen_q', 'gen_v', 'gen_margin_up', 'gen_margin_down', 'load_p', 'load_q', 'load_v', 'p_or', 'q_or', 'v_or', 'a_or', 'p_ex', 'q_ex', 'v_ex', 'a_ex', 'rho', 'line_status', 'timestep_overflow', 'target_dispatch', 'actual_dispatch', 'curtailment', 'curtailment_limit', 'thermal_limit', 'theta_or', 'theta_ex', 'load_theta', 'gen_theta']}
08-09 00:45 | DEBUG   | src.makers.SB3           | 57   | Gym observation_space [Box([0. 0. 0. ... 0. 0. 0.], [inf inf inf ... inf inf inf], (1194,), float32)]
08-09 00:45 | DEBUG   | src.makers.SB3           | 67   | Creating new gym action space using <class 'grid2op.gym_compat.box_gym_actspace.BoxGymnasiumActSpace'>  with arguments {'attr_to_keep': ['redispatch', 'curtail']}
08-09 00:45 | DEBUG   | src.makers.SB3           | 74   | Gym action_space [Box([  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  -1.4  -1.4 -10.4  -1.4  -2.8  -2.8  -4.3  -2.8  -8.5  -9.9], [ 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.4  1.4
 10.4  1.4  2.8  2.8  4.3  2.8  8.5  9.9], (22,), float32)]
08-09 00:45 | DEBUG   | src.makers.SB3           | 81   | tensorboard logging directory [./agents_RedispReward\tensorboard_log] does not exist, creating it now.
08-09 00:45 | DEBUG   | src.makers.SB3           | 87   | Creating agent [<class 'stable_baselines3.a2c.a2c.A2C'>]
08-09 00:45 | DEBUG   | src.makers.SB3           | 88   | env.action_space: <grid2op.Space.GridObjects.ActionSpace_l2rpn_icaps_2021_large_train object at 0x000001C38BC06310>
08-09 00:45 | DEBUG   | src.makers.SB3           | 89   | env_gym.action_space: Box([  0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
  -1.4  -1.4 -10.4  -1.4  -2.8  -2.8  -4.3  -2.8  -8.5  -9.9], [ 1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.   1.4  1.4
 10.4  1.4  2.8  2.8  4.3  2.8  8.5  9.9], (22,), float32)
08-09 00:45 | DEBUG   | src.makers.SB3           | 90   | env_gym.observation_space: Box([0. 0. 0. ... 0. 0. 0.], [inf inf inf ... inf inf inf], (1194,), float32)
08-09 00:45 | DEBUG   | src.makers.SB3           | 91   | gymenv: <CustomGymEnv instance>
08-09 00:45 | DEBUG   | src.makers.SB3           | 92   | nn_type: <class 'stable_baselines3.a2c.a2c.A2C'>
08-09 00:45 | DEBUG   | src.makers.SB3           | 93   | nn_kwargs: {'policy': <class 'stable_baselines3.common.policies.ActorCriticPolicy'>, 'tensorboard_log': './agents_RedispReward\\tensorboard_log', 'env': <experiments.sb3_grid_ace.final.base_IncreasingFlatReward.CustomGymEnv object at 0x000001C38BB85280>, 'verbose': True}
08-09 00:45 | DEBUG   | src.makers.SB3           | 94   | nn_path: None
08-09 00:45 | INFO    | src.AutoGrid             | 199  | Training agent with [DEFAULT]
08-09 00:45 | DEBUG   | src.trainner.trainer     | 27   | Training agent [<src.agents.Grid2OpSB3.SB3AgentGrid2Op object at 0x000001C38D125C40>] with trainner: DEFAULT({'total_timesteps': 10000000, 'reset_num_timesteps': False, 'add_training': False, 'save_path': './agents_RedispReward\\A2C_box', 'tb_log_name': 'A2C_box'})
08-09 00:45 | DEBUG   | src.agents.Grid2OpSB3    | 234  | Training agent for 10000000 timesteps
08-10 07:48 | INFO    | src.AutoGrid             | 205  | Evaluating agent with [GRID2OP_BASELINE]
08-10 07:48 | DEBUG   | src.evaluators.evaluator | 31   | evaluation env: <Environment_l2rpn_icaps_2021_large_val instance named l2rpn_icaps_2021_large_val>
08-10 07:48 | DEBUG   | src.evaluators.evaluator | 33   | evaluation reward: <grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore object at 0x000001C38CFAB640>
08-10 07:57 | DEBUG   | src.AutoGrid             | 210  | Execution finished, cleaning up resources.
08-10 07:57 | INFO    | src.AutoGrid             | 191  | Executing experiment [experiment_A2C_discrete]
08-10 07:57 | DEBUG   | src.AutoGrid             | 147  | Creating backend [<class 'lightsim2grid.lightSimBackend.LightSimBackend'>]
08-10 07:57 | DEBUG   | src.AutoGrid             | 160  | Creating a new environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_train', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.redispReward.RedispReward'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C39EE82C40>}))
08-10 07:57 | DEBUG   | src.AutoGrid             | 175  | Creating a new evaluation environment using <function make at 0x000001C381FB4160>(([], {'dataset': 'l2rpn_icaps_2021_large_val', 'difficulty': 'competition', 'reward_class': <class 'grid2op.Reward.l2RPNSandBoxScore.L2RPNSandBoxScore'>, 'backend': <lightsim2grid.lightSimBackend.LightSimBackend object at 0x000001C38BE72FD0>}))
08-10 07:57 | DEBUG   | src.makers.SB3           | 24   | Environment [<Environment_l2rpn_icaps_2021_large_train instance named l2rpn_icaps_2021_large_train>]
08-10 07:57 | DEBUG   | src.makers.SB3           | 40   | Gym Environment [<CustomGymEnv instance>]
08-10 07:57 | DEBUG   | src.makers.SB3           | 50   | Creating new gym observation space using <class 'grid2op.gym_compat.box_gym_obsspace.BoxGymnasiumObsSpace'> with arguments {'attr_to_keep': ['gen_p', 'gen_q', 'gen_v', 'gen_margin_up', 'gen_margin_down', 'load_p', 'load_q', 'load_v', 'p_or', 'q_or', 'v_or', 'a_or', 'p_ex', 'q_ex', 'v_ex', 'a_ex', 'rho', 'line_status', 'timestep_overflow', 'target_dispatch', 'actual_dispatch', 'curtailment', 'curtailment_limit', 'thermal_limit', 'theta_or', 'theta_ex', 'load_theta', 'gen_theta']}
08-10 07:57 | DEBUG   | src.makers.SB3           | 57   | Gym observation_space [Box([0. 0. 0. ... 0. 0. 0.], [inf inf inf ... inf inf inf], (1194,), float32)]
