chronics at: Scenario_april_038	total score: 18266.974609	time steps: 782/8062
chronics at: Scenario_april_084	total score: 11996.063477	time steps: 554/8062
chronics at: Scenario_april_111	total score: 29477.833984	time steps: 1088/8062
chronics at: Scenario_april_136	total score: 2973.558594	time steps: 203/8062
chronics at: Scenario_april_137	total score: 3528.988770	time steps: 192/8062
chronics at: Scenario_april_144	total score: 36557.101562	time steps: 1431/8062
chronics at: Scenario_april_191	total score: 13044.554688	time steps: 556/8062
chronics at: Scenario_april_211	total score: 13727.774414	time steps: 594/8062
chronics at: Scenario_april_214	total score: 7979.752441	time steps: 379/8062
chronics at: Scenario_april_265	total score: 10354.457031	time steps: 496/8062
chronics at: Scenario_august_030	total score: 22908.521484	time steps: 1069/8062
chronics at: Scenario_august_035	total score: 10012.486328	time steps: 390/8062
chronics at: Scenario_august_060	total score: 8040.895508	time steps: 375/8062
chronics at: Scenario_august_115	total score: 4103.638672	time steps: 157/8062
chronics at: Scenario_august_139	total score: 10212.727539	time steps: 408/8062
chronics at: Scenario_august_151	total score: 28665.464844	time steps: 1383/8062
chronics at: Scenario_august_218	total score: 27115.457031	time steps: 1146/8062
chronics at: Scenario_august_237	total score: 16322.125977	time steps: 722/8062
chronics at: Scenario_august_254	total score: 38422.230469	time steps: 1835/8062
chronics at: Scenario_december_007	total score: 14734.796875	time steps: 333/8062
chronics at: Scenario_december_037	total score: 2795.881836	time steps: 70/8062
chronics at: Scenario_december_043	total score: 7649.162598	time steps: 195/8062
chronics at: Scenario_december_045	total score: 6226.871094	time steps: 178/8062
chronics at: Scenario_december_066	total score: 22267.041016	time steps: 558/8062
chronics at: Scenario_december_088	total score: 26306.042969	time steps: 768/8062
chronics at: Scenario_december_107	total score: 7128.076660	time steps: 191/8062
chronics at: Scenario_december_112	total score: 18125.234375	time steps: 481/8062
chronics at: Scenario_december_115	total score: 27541.595703	time steps: 701/8062
chronics at: Scenario_december_117	total score: 9303.920898	time steps: 229/8062
chronics at: Scenario_december_130	total score: 53953.273438	time steps: 1474/8062
chronics at: Scenario_december_151	total score: 15510.583008	time steps: 409/8062
chronics at: Scenario_december_206	total score: 6664.782227	time steps: 197/8062
chronics at: Scenario_december_215	total score: 3438.726318	time steps: 79/8062
chronics at: Scenario_december_217	total score: 7540.783691	time steps: 201/8062
chronics at: Scenario_december_219	total score: 8910.628906	time steps: 203/8062
chronics at: Scenario_december_249	total score: 2492.664307	time steps: 58/8062
chronics at: Scenario_december_251	total score: 28052.679688	time steps: 697/8062
chronics at: Scenario_february_084	total score: 13512.063477	time steps: 227/8062
chronics at: Scenario_february_091	total score: 13158.723633	time steps: 227/8062
chronics at: Scenario_february_118	total score: 7057.270508	time steps: 134/8062
chronics at: Scenario_february_129	total score: 1149.034546	time steps: 19/8062
chronics at: Scenario_february_138	total score: 2807.571533	time steps: 51/8062
chronics at: Scenario_february_173	total score: 13734.130859	time steps: 226/8062
chronics at: Scenario_february_182	total score: 11477.679688	time steps: 198/8062
chronics at: Scenario_february_185	total score: 13582.666016	time steps: 228/8062
chronics at: Scenario_february_197	total score: 1576.777710	time steps: 25/8062
chronics at: Scenario_february_210	total score: 1691.603027	time steps: 29/8062
chronics at: Scenario_february_228	total score: 4820.937500	time steps: 84/8062
chronics at: Scenario_february_236	total score: 26755.083984	time steps: 474/8062
chronics at: Scenario_february_237	total score: 5188.722656	time steps: 90/8062
chronics at: Scenario_february_239	total score: 8334.106445	time steps: 148/8062
chronics at: Scenario_january_020	total score: 7977.512695	time steps: 229/8062
chronics at: Scenario_january_038	total score: 4786.850586	time steps: 120/8062
chronics at: Scenario_january_051	total score: 14784.950195	time steps: 369/8062
chronics at: Scenario_january_124	total score: 16920.644531	time steps: 392/8062
chronics at: Scenario_january_129	total score: 8895.239258	time steps: 240/8062
chronics at: Scenario_january_179	total score: 13370.077148	time steps: 306/8062
chronics at: Scenario_january_189	total score: 7181.021484	time steps: 217/8062
chronics at: Scenario_january_210	total score: 3165.899902	time steps: 75/8062
chronics at: Scenario_january_212	total score: 22429.435547	time steps: 504/8062
chronics at: Scenario_january_226	total score: 17378.570312	time steps: 419/8062
chronics at: Scenario_january_268	total score: 17217.708984	time steps: 388/8062
chronics at: Scenario_july_008	total score: 2584.784424	time steps: 220/8062
chronics at: Scenario_july_022	total score: 28233.064453	time steps: 1453/8062
chronics at: Scenario_july_130	total score: 3464.609863	time steps: 257/8062
chronics at: Scenario_july_141	total score: 17404.574219	time steps: 1080/8062
chronics at: Scenario_july_156	total score: 7541.726074	time steps: 505/8062
chronics at: Scenario_july_197	total score: 2491.250488	time steps: 224/8062
chronics at: Scenario_july_205	total score: 2782.184326	time steps: 223/8062
chronics at: Scenario_july_222	total score: 11668.890625	time steps: 710/8062
chronics at: Scenario_july_333	total score: 1036.780273	time steps: 35/8062
chronics at: Scenario_june_007	total score: 10260.140625	time steps: 606/8062
chronics at: Scenario_june_041	total score: 3036.447266	time steps: 215/8062
chronics at: Scenario_june_063	total score: 31482.646484	time steps: 1937/8062
chronics at: Scenario_june_095	total score: 17840.365234	time steps: 1073/8062
chronics at: Scenario_june_135	total score: 7805.095215	time steps: 511/8062
chronics at: Scenario_june_197	total score: 404.122345	time steps: 11/8062
chronics at: Scenario_june_225	total score: 1802.643677	time steps: 80/8062
chronics at: Scenario_march_000	total score: 76261.859375	time steps: 1938/8062
chronics at: Scenario_march_007	total score: 6287.047363	time steps: 145/8062
chronics at: Scenario_march_012	total score: 12715.636719	time steps: 300/8062
chronics at: Scenario_march_013	total score: 9612.598633	time steps: 224/8062
chronics at: Scenario_march_027	total score: 51626.343750	time steps: 1255/8062
chronics at: Scenario_march_094	total score: 11430.835938	time steps: 230/8062
chronics at: Scenario_march_236	total score: 50013.531250	time steps: 1250/8062
chronics at: Scenario_march_237	total score: 19040.695312	time steps: 392/8062
chronics at: Scenario_march_245	total score: 36515.480469	time steps: 777/8062
chronics at: Scenario_march_254	total score: 25379.671875	time steps: 528/8062
chronics at: Scenario_may_028	total score: 24719.361328	time steps: 1280/8062
chronics at: Scenario_may_031	total score: 15359.411133	time steps: 783/8062
chronics at: Scenario_may_037	total score: 2874.072021	time steps: 208/8062
chronics at: Scenario_may_052	total score: 26381.554688	time steps: 1219/8062
chronics at: Scenario_may_066	total score: 15568.273438	time steps: 804/8062
chronics at: Scenario_may_130	total score: 20554.041016	time steps: 1052/8062
chronics at: Scenario_may_239	total score: 46907.667969	time steps: 2531/8062
chronics at: Scenario_may_264	total score: 39984.746094	time steps: 1799/8062
chronics at: Scenario_may_271	total score: 42875.269531	time steps: 2109/8062
chronics at: Scenario_may_311	total score: 23544.917969	time steps: 1127/8062
chronics at: Scenario_may_314	total score: 67857.101562	time steps: 3110/8062
chronics at: Scenario_may_338	total score: 14092.746094	time steps: 719/8062
chronics at: Scenario_may_343	total score: 3522.785645	time steps: 209/8062
chronics at: Scenario_november_009	total score: 15701.763672	time steps: 497/8062
chronics at: Scenario_november_051	total score: 3291.422852	time steps: 103/8062
chronics at: Scenario_november_063	total score: 4014.137695	time steps: 131/8062
chronics at: Scenario_november_077	total score: 1010.596680	time steps: 33/8062
chronics at: Scenario_november_086	total score: 17882.666016	time steps: 536/8062
chronics at: Scenario_november_100	total score: 4381.138672	time steps: 120/8062
chronics at: Scenario_november_104	total score: 4603.824707	time steps: 134/8062
chronics at: Scenario_november_121	total score: 9878.907227	time steps: 301/8062
chronics at: Scenario_november_150	total score: 1618.080200	time steps: 50/8062
chronics at: Scenario_november_166	total score: 4363.817871	time steps: 160/8062
chronics at: Scenario_november_174	total score: 4068.817871	time steps: 124/8062
chronics at: Scenario_november_190	total score: 1174.023071	time steps: 31/8062
chronics at: Scenario_november_218	total score: 285.620117	time steps: 9/8062
chronics at: Scenario_november_229	total score: 13099.095703	time steps: 417/8062
chronics at: Scenario_november_249	total score: 4568.564453	time steps: 135/8062
chronics at: Scenario_november_256	total score: 31894.056641	time steps: 1046/8062
chronics at: Scenario_november_268	total score: 3862.050049	time steps: 120/8062
chronics at: Scenario_october_010	total score: 2814.778076	time steps: 87/8062
chronics at: Scenario_october_011	total score: 3525.892822	time steps: 124/8062
chronics at: Scenario_october_013	total score: 1617.984985	time steps: 50/8062
chronics at: Scenario_october_019	total score: 4314.144531	time steps: 137/8062
chronics at: Scenario_october_034	total score: 13677.494141	time steps: 412/8062
chronics at: Scenario_october_044	total score: 4240.900391	time steps: 150/8062
chronics at: Scenario_october_086	total score: 27639.601562	time steps: 977/8062
chronics at: Scenario_october_113	total score: 6151.991699	time steps: 235/8062
chronics at: Scenario_october_142	total score: 18999.492188	time steps: 652/8062
chronics at: Scenario_october_176	total score: 10573.825195	time steps: 315/8062
chronics at: Scenario_october_179	total score: 10446.125977	time steps: 329/8062
chronics at: Scenario_october_180	total score: 3953.196289	time steps: 162/8062
chronics at: Scenario_october_181	total score: 4189.034180	time steps: 146/8062
chronics at: Scenario_october_230	total score: 29862.832031	time steps: 950/8062
chronics at: Scenario_october_231	total score: 6138.632812	time steps: 206/8062
chronics at: Scenario_october_236	total score: 4472.234863	time steps: 150/8062
chronics at: Scenario_october_248	total score: 20142.873047	time steps: 663/8062
chronics at: Scenario_october_252	total score: 13156.226562	time steps: 436/8062
chronics at: Scenario_october_255	total score: 12895.909180	time steps: 392/8062
chronics at: Scenario_october_267	total score: 8190.351074	time steps: 282/8062
chronics at: Scenario_september_038	total score: 11839.196289	time steps: 502/8062
chronics at: Scenario_september_045	total score: 5691.288086	time steps: 249/8062
chronics at: Scenario_september_071	total score: 10118.779297	time steps: 479/8062
chronics at: Scenario_september_081	total score: 8458.098633	time steps: 358/8062
chronics at: Scenario_september_085	total score: 21656.357422	time steps: 954/8062
chronics at: Scenario_september_112	total score: 29693.474609	time steps: 1251/8062
