chronics at: Scenario_april_038	total score: 7122.285156	time steps: 316/8062
chronics at: Scenario_april_084	total score: 9727.820312	time steps: 500/8062
chronics at: Scenario_april_111	total score: 3298.515137	time steps: 201/8062
chronics at: Scenario_april_136	total score: 19106.980469	time steps: 826/8062
chronics at: Scenario_april_137	total score: 70277.828125	time steps: 2545/8062
chronics at: Scenario_april_144	total score: 12293.622070	time steps: 564/8062
chronics at: Scenario_april_191	total score: 4182.012207	time steps: 220/8062
chronics at: Scenario_april_211	total score: 64186.843750	time steps: 2525/8062
chronics at: Scenario_april_214	total score: 3972.323975	time steps: 242/8062
chronics at: Scenario_april_265	total score: 3160.387451	time steps: 195/8062
chronics at: Scenario_august_030	total score: 29921.347656	time steps: 1441/8062
chronics at: Scenario_august_035	total score: 39360.128906	time steps: 1884/8062
chronics at: Scenario_august_060	total score: 25090.033203	time steps: 1208/8062
chronics at: Scenario_august_115	total score: 41427.492188	time steps: 1836/8062
chronics at: Scenario_august_139	total score: 4327.653320	time steps: 225/8062
chronics at: Scenario_august_151	total score: 20909.867188	time steps: 1065/8062
chronics at: Scenario_august_218	total score: 38030.812500	time steps: 1533/8062
chronics at: Scenario_august_237	total score: 43782.917969	time steps: 1971/8062
chronics at: Scenario_august_254	total score: 4592.118652	time steps: 207/8062
chronics at: Scenario_december_007	total score: 21262.906250	time steps: 527/8062
chronics at: Scenario_december_037	total score: 21185.130859	time steps: 587/8062
chronics at: Scenario_december_043	total score: 22861.800781	time steps: 590/8062
chronics at: Scenario_december_045	total score: 25579.976562	time steps: 685/8062
chronics at: Scenario_december_066	total score: 6935.687988	time steps: 175/8062
chronics at: Scenario_december_088	total score: 4211.306152	time steps: 127/8062
chronics at: Scenario_december_107	total score: 28764.654297	time steps: 737/8062
chronics at: Scenario_december_112	total score: 20163.908203	time steps: 506/8062
chronics at: Scenario_december_115	total score: 11180.586914	time steps: 258/8062
chronics at: Scenario_december_117	total score: 13762.853516	time steps: 348/8062
chronics at: Scenario_december_130	total score: 81066.984375	time steps: 2176/8062
chronics at: Scenario_december_151	total score: 18137.978516	time steps: 505/8062
chronics at: Scenario_december_206	total score: 3572.248535	time steps: 82/8062
chronics at: Scenario_december_215	total score: 8619.830078	time steps: 220/8062
chronics at: Scenario_december_217	total score: 863.031738	time steps: 21/8062
chronics at: Scenario_december_219	total score: 6078.565918	time steps: 144/8062
