chronics at: Scenario_april_038	total score: 5907.083984	time steps: 228/8062
chronics at: Scenario_april_084	total score: 4243.796387	time steps: 240/8062
chronics at: Scenario_april_111	total score: 3768.851562	time steps: 217/8062
chronics at: Scenario_april_136	total score: 124.608398	time steps: 4/8062
chronics at: Scenario_april_137	total score: 8109.371094	time steps: 153/8062
chronics at: Scenario_april_144	total score: 760.496521	time steps: 20/8062
chronics at: Scenario_april_191	total score: 4232.462402	time steps: 202/8062
chronics at: Scenario_april_211	total score: 2510.178223	time steps: 121/8062
chronics at: Scenario_april_214	total score: 1223.020508	time steps: 44/8062
chronics at: Scenario_april_265	total score: 155.145905	time steps: 6/8062
chronics at: Scenario_august_030	total score: 829.394958	time steps: 28/8062
chronics at: Scenario_august_035	total score: 185.107254	time steps: 7/8062
chronics at: Scenario_august_060	total score: 773.015991	time steps: 28/8062
chronics at: Scenario_august_115	total score: 1459.680908	time steps: 60/8062
chronics at: Scenario_august_139	total score: 2481.326416	time steps: 53/8062
chronics at: Scenario_august_151	total score: 3802.562256	time steps: 77/8062
chronics at: Scenario_august_218	total score: 822.547791	time steps: 28/8062
chronics at: Scenario_august_237	total score: 871.008301	time steps: 24/8062
chronics at: Scenario_august_254	total score: 118.146194	time steps: 4/8062
chronics at: Scenario_december_007	total score: 1004.156128	time steps: 20/8062
chronics at: Scenario_december_037	total score: 1128.346191	time steps: 28/8062
chronics at: Scenario_december_043	total score: 1118.578735	time steps: 24/8062
chronics at: Scenario_december_045	total score: 1388.770386	time steps: 28/8062
chronics at: Scenario_december_066	total score: 1046.470337	time steps: 21/8062
chronics at: Scenario_december_088	total score: 3031.495605	time steps: 76/8062
chronics at: Scenario_december_107	total score: 1219.036377	time steps: 24/8062
chronics at: Scenario_december_112	total score: 295.086914	time steps: 8/8062
chronics at: Scenario_december_115	total score: 164.832031	time steps: 4/8062
chronics at: Scenario_december_117	total score: 932.138428	time steps: 21/8062
chronics at: Scenario_december_130	total score: 1445.182983	time steps: 32/8062
chronics at: Scenario_december_151	total score: 469.980713	time steps: 11/8062
chronics at: Scenario_december_206	total score: 1680.501465	time steps: 36/8062
chronics at: Scenario_december_215	total score: 502.592957	time steps: 12/8062
chronics at: Scenario_december_217	total score: 1256.588013	time steps: 29/8062
chronics at: Scenario_december_219	total score: 665.459167	time steps: 12/8062
chronics at: Scenario_december_249	total score: 157.583847	time steps: 4/8062
chronics at: Scenario_december_251	total score: 585.043152	time steps: 12/8062
chronics at: Scenario_february_084	total score: 217.287018	time steps: 4/8062
chronics at: Scenario_february_091	total score: 981.800659	time steps: 16/8062
chronics at: Scenario_february_118	total score: 484.930664	time steps: 8/8062
chronics at: Scenario_february_129	total score: 728.647949	time steps: 12/8062
chronics at: Scenario_february_138	total score: 202.266479	time steps: 4/8062
chronics at: Scenario_february_173	total score: 221.640472	time steps: 4/8062
chronics at: Scenario_february_182	total score: 233.527069	time steps: 4/8062
chronics at: Scenario_february_185	total score: 1915.796753	time steps: 32/8062
chronics at: Scenario_february_197	total score: 211.708221	time steps: 4/8062
chronics at: Scenario_february_210	total score: 446.060242	time steps: 8/8062
chronics at: Scenario_february_228	total score: 784.696655	time steps: 13/8062
chronics at: Scenario_february_236	total score: 670.857849	time steps: 12/8062
chronics at: Scenario_february_237	total score: 523.898376	time steps: 9/8062
chronics at: Scenario_february_239	total score: 217.888214	time steps: 4/8062
chronics at: Scenario_january_020	total score: 1376.529053	time steps: 28/8062
chronics at: Scenario_january_038	total score: 200.728882	time steps: 4/8062
chronics at: Scenario_january_051	total score: 736.088806	time steps: 16/8062
chronics at: Scenario_january_124	total score: 619.585144	time steps: 12/8062
chronics at: Scenario_january_129	total score: 516.334412	time steps: 8/8062
chronics at: Scenario_january_179	total score: 660.607910	time steps: 12/8062
chronics at: Scenario_january_189	total score: 1227.889526	time steps: 23/8062
chronics at: Scenario_january_210	total score: 609.860413	time steps: 12/8062
chronics at: Scenario_january_212	total score: 167.259445	time steps: 4/8062
chronics at: Scenario_january_226	total score: 605.489136	time steps: 13/8062
chronics at: Scenario_january_268	total score: 433.416443	time steps: 7/8062
chronics at: Scenario_july_008	total score: 2159.997803	time steps: 125/8062
chronics at: Scenario_july_022	total score: 644.496826	time steps: 32/8062
chronics at: Scenario_july_130	total score: 1591.366211	time steps: 108/8062
chronics at: Scenario_july_141	total score: 1078.259888	time steps: 45/8062
chronics at: Scenario_july_156	total score: 3320.190918	time steps: 217/8062
chronics at: Scenario_july_197	total score: 927.748474	time steps: 48/8062
chronics at: Scenario_july_205	total score: 13341.103516	time steps: 218/8062
chronics at: Scenario_july_222	total score: 1920.223267	time steps: 140/8062
chronics at: Scenario_july_333	total score: 471.001251	time steps: 16/8062
chronics at: Scenario_june_007	total score: 1352.801880	time steps: 93/8062
chronics at: Scenario_june_041	total score: 1100.173462	time steps: 28/8062
chronics at: Scenario_june_063	total score: 279.625275	time steps: 8/8062
chronics at: Scenario_june_095	total score: 208.812302	time steps: 8/8062
chronics at: Scenario_june_135	total score: 282.134033	time steps: 8/8062
chronics at: Scenario_june_197	total score: 2790.127197	time steps: 198/8062
chronics at: Scenario_june_225	total score: 2539.523438	time steps: 113/8062
chronics at: Scenario_march_000	total score: 189.584991	time steps: 4/8062
chronics at: Scenario_march_007	total score: 5134.448242	time steps: 104/8062
chronics at: Scenario_march_012	total score: 1075.026123	time steps: 24/8062
chronics at: Scenario_march_013	total score: 283.623688	time steps: 6/8062
chronics at: Scenario_march_027	total score: 188.467651	time steps: 4/8062
chronics at: Scenario_march_094	total score: 332.433105	time steps: 7/8062
chronics at: Scenario_march_236	total score: 654.893677	time steps: 12/8062
chronics at: Scenario_march_237	total score: 177.881516	time steps: 4/8062
chronics at: Scenario_march_245	total score: 1104.857544	time steps: 20/8062
chronics at: Scenario_march_254	total score: 252.465454	time steps: 4/8062
chronics at: Scenario_may_028	total score: 1534.671387	time steps: 63/8062
chronics at: Scenario_may_031	total score: 646.385742	time steps: 20/8062
chronics at: Scenario_may_037	total score: 1915.495972	time steps: 120/8062
chronics at: Scenario_may_052	total score: 332.168030	time steps: 12/8062
chronics at: Scenario_may_066	total score: 1554.297852	time steps: 49/8062
chronics at: Scenario_may_130	total score: 1064.359131	time steps: 40/8062
chronics at: Scenario_may_239	total score: 3438.536377	time steps: 209/8062
chronics at: Scenario_may_264	total score: 107.041061	time steps: 4/8062
chronics at: Scenario_may_271	total score: 522.404602	time steps: 20/8062
chronics at: Scenario_may_311	total score: 1787.225220	time steps: 103/8062
chronics at: Scenario_may_314	total score: 208.979950	time steps: 8/8062
chronics at: Scenario_may_338	total score: 132.131592	time steps: 6/8062
chronics at: Scenario_may_343	total score: 1810.946533	time steps: 37/8062
chronics at: Scenario_november_009	total score: 987.660034	time steps: 24/8062
